"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48904","Sondika","7.53","7.28","7.58","7.90","7.52"
"48085","Sopela","4.63","4.53","4.41","3.71","3.79"
"48086","Sopuerta","5.09","5.19","5.36","5.38","5.51"
"20065","Soraluze-Placencia de las Armas","4.00","3.51","2.73","4.19","3.66"
"48076","Sukarrieta","17.05","17.14","17.39","17.00","16.95"
"20071","Tolosa","3.54","3.55","3.63","3.13","3.08"
"48087","Trucios-Turtzioz","16.61","16.92","16.48","16.42","17.18"
"48088","Ubide","17.96","12.42","12.66","12.90","12.74"
"48065","Ugao-Miraballes","3.21","2.98","2.49","1.99","1.98"
"48089","Urduliz","6.43","6.59","6.36","5.20","4.14"
"48074","Urduña/Orduña","4.70","2.84","2.86","3.87","3.17"
"01054","Urkabustaiz","12.59","9.20","11.22","10.52","11.45"
"20072","Urnieta","4.88","3.75",NA,"3.83","3.90"
"20077","Urretxu","3.59","3.62","3.67","4.88",NA
"20073","Usurbil","4.32","4.39","4.49","7.35","6.99"
"01055","Valdegovía/Gaubea","18.08","18.21","16.55","17.09","17.66"
"48080","Valle de Trápaga-Trapagaran","2.84","2.75","2.66","2.81","2.56"
"20075","Villabona","3.78","3.46","2.95","3.83",NA
"01057","Villabuena de Álava/Eskuernaga","9.49","18.87","18.93","19.11","18.46"
"01059","Vitoria-Gasteiz","2.95","3.00","3.03","2.38","2.20"
"01060","Yécora/Iekora","6.99","6.56","10.03",NA,NA
"48095","Zaldibar","5.26","4.98","5.46","4.85","4.87"
"20078","Zaldibia","3.32","3.28","3.99","2.73",NA
"01061","Zalduondo","15.54","16.22",NA,"5.41","5.68"
"48096","Zalla","4.53","4.52","4.52","4.46","4.49"
"01062","Zambrana","5.22","5.31","5.59","2.78","2.76"
"48905","Zamudio","8.97","8.12","8.68","8.37","6.89"
"48097","Zaratamo","2.34","2.31","1.72","2.96","3.03"
"20079","Zarautz","4.99","4.82","4.85","4.62",NA
"48024","Zeanuri","12.29","12.03","12.15","15.59","14.49"
"48025","Zeberio","8.49","8.54","8.40","8.40","8.57"
"20025","Zegama","7.84","8.04","7.57","6.40","6.68"
"20026","Zerain","12.05","12.35","12.30","8.06","8.20"
"20027","Zestoa","8.18","7.19","7.30","5.57","4.83"
"48913","Zierbena","10.01","10.13","8.88","7.70","7.79"
"01018","Zigoitia","13.58","13.95","10.70","13.88","12.79"
"48915","Ziortza-Bolibar","17.16","17.68","12.66","7.59","7.83"
"20028","Zizurkil","6.51","6.44","4.65","6.45","6.29"
"01063","Zuia","11.25","11.30","11.77","10.96","11.16"
"20081","Zumaia","3.86","3.66","3.74","3.45","3.51"
"20080","Zumarraga","3.29","3.27","3.28","3.68",NA
