"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48902","Erandio","0.00","0.00","0.00","0.00","0.00","11.88","17.18","22.31","27.13","32.32","37.62","42.74"
"48033","Ereño","0.00","0.00","179.50","197.05","228.14","700.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48034","Ermua","44.22","71.40","116.37","160.68","198.05","251.41","297.10","337.25","382.18","430.11","486.50","487.69"
"20067","Errenteria","314.62","353.79","0.00","411.52","478.47","642.51","556.13","595.61","599.96","607.75","620.31","519.56"
"20066","Errezil","240.85","446.84","22620.92","805.38","1443.16","1166.62","1110.35","1075.27","1101.71","828.03","494.42","208.92"
"01046","Erriberagoitia/Ribera Alta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.36","2.39"
"48079","Errigoiti","1824.54","1855.85","1994.08","721.94","784.56","11.83","79.30","141.83","205.52","271.53","332.77","404.89"
"20034","Eskoriatza","308.27","371.01","436.38","498.96","560.23","791.14","747.49","704.43","736.61","319.18","157.16","169.95"
"48029","Etxebarri","0.00","0.00","0.00","0.00","0.00","5.62","14.75","26.16","42.88","73.61","104.90","141.29"
"48030","Etxebarria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.63"
"20035","Ezkio-Itsaso","0.00","0.00","0.00","0.00","0.00","214.08","73.47","74.87","100.42","130.71","150.35","175.65"
"48906","Forua","368.21","491.08","629.63","684.94","784.47","645.33","733.23","848.49","780.23","833.66","856.60","885.58"
"48035","Fruiz","0.00","0.00","34.40","49.50","202.56","92.99","115.71","135.90","153.31","169.79","189.97","0.00"
"20038","Gabiria","502.63","496.56","553.31","616.87","663.29","905.45","877.70","882.71","921.66","932.40","952.38","58.64"
"20037","Gaintza","259.47","382.61","631.66","648.58","1030.77","1122.71","970.75","268.95","335.52","411.42","476.92","465.47"
"48036","Galdakao","464.55","464.44","466.54","467.97","0.03","465.98","0.00","0.00","0.00","0.00","0.00","0.00"
"48037","Galdames","44.98","396.25","495.83","0.00","336.87","42.33","46.99","53.12","56.74","78.81","98.04","122.86"
"48038","Gamiz-Fika","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.81"
"48039","Garai","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48040","Gatika","228.82","251.97","276.29","296.43","325.13","356.56","382.98","82.83","111.38","141.17","174.06","206.63"
"48041","Gautegiz Arteaga","359.42","494.57","796.50","589.63","686.01","694.02","0.00","0.00","0.00","0.00","0.00","0.00"
"20907","Gaztelu","660.35","752.94","877.35","965.86","1070.59","1526.24","1519.37","1384.66","1396.86","1870.39","796.04","796.04"
"48046","Gernika-Lumo","222.66","240.87","204.67","232.27","265.05","286.35","306.11","107.00","120.63","69.34","79.62","104.92"
"20039","Getaria","575.12","632.72","685.77","774.01","768.94","1118.19","1098.40","968.34","460.14","534.27","541.16","453.87"
"48044","Getxo","316.85","356.08","396.60","437.13","352.13","467.28","452.28","429.66","423.17","455.17","491.57","440.60"
"48047","Gizaburuaga","1459.41","1646.17","1683.07","735.29","243.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48042","Gordexola","0.00","17.51","35.94","53.67","71.75","88.69","105.44","122.89","143.00","163.80","183.83","203.97"
"48043","Gorliz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.41"
"48045","Güeñes","61.47","71.85","83.15","105.48","147.19","145.38","161.04","186.94","215.15","251.19","290.71","321.03"
"01056","Harana/Valle de Arana","537.07","540.16","608.76","0.00","954.70","0.00","119.75","0.00","0.00","135.17","132.46","27.40"
"20040","Hernani","74.52","74.54","105.56","135.85","165.22","342.88","223.76","251.21","288.20","349.43","409.06","467.13"
"20041","Hernialde","0.00","0.00","0.00","0.00","0.00","224.67","0.00","40.48","120.33","120.33","170.08","222.84"
"20036","Hondarribia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20042","Ibarra","490.47","532.22","551.99","572.58","157.11","220.83","284.29","231.50","183.87","204.22","219.00","227.22"
"48048","Ibarrangelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20043","Idiazabal","335.49","363.23","391.47","392.84","0.00","172.05","73.60","11.98","23.12","34.17","44.90","60.94"
"48094","Igorre","303.06","321.26","341.34","359.54","277.79","396.53","420.02","432.50","782.76","1108.69","593.99","32.03"
"20044","Ikaztegieta","868.89","945.25","1079.69","1151.90","1451.06","948.58","799.24","557.02","0.00","0.00","0.00","0.00"
"20045","Irun","512.98","558.79","616.03","685.87","675.84","844.68","640.19","508.37","397.69","285.73","316.57","139.08"
"20046","Irura","0.00","0.00","0.00","0.00","0.00","147.34","73.07","18.76","26.31","33.64","56.46","104.46"
"01027","Iruraiz-Gauna","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01901","Iruña Oka/Iruña de Oca","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48049","Ispaster","432.81","497.88","546.76","608.08","683.36","748.50","755.29","755.29","0.00","0.00","0.00","0.00"
"20047","Itsasondo","141.01","161.04","178.15","177.25","28.66","240.49","167.62","138.61","192.35","248.37","311.42","369.10"
"48910","Iurreta","326.34","352.65","466.89","539.82","617.27","703.61","771.19","831.68","885.37","802.46","322.98","349.02"
"48050","Izurtza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.98","67.40","2.76","45.52"
"48022","Karrantza Harana/Valle de Carranza","504.16","619.60","819.63","745.16","1037.94","924.11","716.93","871.55","928.57","606.36","772.73","832.22"
"48907","Kortezubi","29.39","29.77","75.55","175.12","365.12","369.88","477.24","591.60","710.29","837.71","931.80","969.37"
