"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005","2004"
"20074","Bergara","300.16","307.67","291.11","292.56","275.80","281.90"
"48017","Bermeo","380.46","395.60","379.55","390.56","390.05","407.87"
"01016","Bernedo","415.65","457.04","451.28","502.61","440.14","505.43"
"48018","Berriatua","356.98","370.37","319.01","356.02","315.79","319.21"
"48019","Berriz","377.28","424.78","416.15","434.08","434.03","421.85"
"20023","Berrobi","375.85","418.49","447.28","435.37","348.43","353.36"
"20024","Bidania-Goiatz","314.78","351.30","358.61","267.93","496.75",NA
"48020","Bilbao","413.26","536.89","588.81","608.74","561.84","551.39"
"48021","Busturia","446.98","437.90","432.71","432.97","376.90","390.82"
"01017","Campezo/Kanpezu","402.85","451.03","450.77","500.46","718.26","494.46"
"20029","Deba","385.66","297.63","296.88","291.39","396.68","284.79"
"48901","Derio","637.08","652.27","681.35","695.67","660.49","670.22"
"48026","Dima","454.55","484.45","442.94","446.12","457.79","373.24"
"20069","Donostia / San Sebastián","485.35","507.65","493.94","490.38","511.69","542.71"
"48027","Durango","357.59","380.35","361.52","369.32","332.80","354.20"
"48028","Ea","498.34","512.79","517.59","396.73","243.61","244.33"
"20030","Eibar","373.41","401.60","400.36","384.57","365.48","365.30"
"48031","Elantxobe","479.55","515.91","523.70","515.70","520.00","560.87"
"01021","Elburgo/Burgelu","295.58","350.19","320.00","332.67","418.41","431.03"
"01022","Elciego","525.26","462.36","478.78","556.36","579.51","583.51"
"20031","Elduain","371.31","421.94","413.79","425.34","397.20","397.20"
"20033","Elgeta","316.57","324.53","320.65","327.22","337.89","320.20"
"20032","Elgoibar","362.31","387.21","313.71","312.45","306.48","305.76"
"48032","Elorrio","421.41","429.68","413.02","423.00","422.24","422.71"
"01023","Elvillar/Bilar","519.02","460.06","509.80","572.24","575.42","594.59"
"48902","Erandio","425.61","440.12","446.07","435.54","442.63","383.27"
"48033","Ereño","437.98","433.59","544.75","501.93","480.77","424.71"
"48034","Ermua","369.08","391.95","398.83","386.70","371.93","365.01"
"20067","Errenteria","374.51","338.96","338.90","354.01","422.58","389.40"
"20066","Errezil","376.21","460.06","456.28","490.35","418.72",NA
"01046","Erriberagoitia/Ribera Alta","460.08","559.27","469.74","510.11","513.47","521.44"
"48079","Errigoiti","280.23","397.29","413.59","365.61","419.16","430.89"
"20034","Eskoriatza","300.81","308.34","293.15","296.04","255.75","256.94"
"48029","Etxebarri","376.58","397.45","412.63","418.08","411.95","402.92"
"48030","Etxebarria","418.89","448.32","385.27","377.75","373.15","362.50"
"20035","Ezkio-Itsaso","367.28","383.56",NA,NA,"424.24","411.56"
"48906","Forua","448.72","486.51","409.84","337.11","304.88","299.40"
"48035","Fruiz","418.76","413.46","416.26",NA,"511.51","539.08"
"20038","Gabiria","354.04","377.44","473.92",NA,"470.59","476.19"
"20037","Gaintza","384.62","386.36","388.06","395.52","409.45","419.35"
"48036","Galdakao","407.11","411.15","436.17","432.02","378.88","371.63"
"48037","Galdames","396.18","421.82","415.35","377.59","373.63","377.45"
"48038","Gamiz-Fika","452.76","377.40","406.08","405.13","355.52","347.10"
"48039","Garai","401.87","396.88","396.83","394.56","409.25","440.14"
"48040","Gatika","415.97","409.74","292.23","286.41","353.45","384.33"
"48041","Gautegiz Arteaga","463.30","495.99","513.20","542.76","450.91","457.14"
"20907","Gaztelu","358.02","432.10","404.76","409.94","1500.00","1311.26"
"48046","Gernika-Lumo","397.05","371.75","406.96","403.36","402.34","400.94"
"20039","Getaria","690.80","657.08","666.28","755.34",NA,NA
"48044","Getxo","405.75","415.19","423.42","436.73","416.93","393.50"
"48047","Gizaburuaga","457.29","455.03","803.37","830.51","957.06","937.50"
"48042","Gordexola","379.67","385.95","387.93","369.04","364.56","354.30"
"48043","Gorliz","515.96","549.40","550.08","513.40","519.13","550.25"
"48045","Güeñes","373.26","393.85","399.52","364.37","358.13","300.49"
"01056","Harana/Valle de Arana","458.47","500.00","490.38","520.25","446.11","514.97"
"20040","Hernani","398.45","467.78",NA,"470.55","413.03","462.52"
"20041","Hernialde","368.88","420.29","439.53","437.13","396.97","386.08"
"20036","Hondarribia","407.27","437.91","471.45","456.97","549.76","543.14"
"20042","Ibarra","368.20","420.66","447.74","437.47","371.83","368.75"
"48048","Ibarrangelu","533.33","534.20","534.88","539.38","494.76","555.76"
"20043","Idiazabal","372.51","383.38","481.82","489.66","594.73","596.36"
"48094","Igorre","449.16","470.00","496.23","489.18","442.59","445.21"
"20044","Ikaztegieta","365.38","419.91","442.01","436.12","471.70","511.51"
"20045","Irun","455.07","688.79","468.64","456.47","539.37","581.04"
"20046","Irura","361.58","408.32","396.58","422.08","388.55","393.25"
"01027","Iruraiz-Gauna","356.57","338.78","340.21","346.56","420.17","423.73"
"01901","Iruña Oka/Iruña de Oca","460.75","465.96","491.99","529.06","499.36","505.29"
"48049","Ispaster","383.46","382.18","190.40","173.08","323.10","314.42"
"20047","Itsasondo","366.41","382.81","426.73",NA,"399.65","408.93"
"48910","Iurreta","413.86","426.16","418.81","423.44","403.63","396.33"
"48050","Izurtza","412.88","413.13","415.02","439.52","468.25","409.27"
"48022","Karrantza Harana/Valle de Carranza","385.28","396.31","538.24","375.31","374.12","366.24"
"48907","Kortezubi","413.46","391.73","667.49","439.70","507.69","444.74"
"01019","Kripan","558.97","455.03","532.61","580.65","565.45","583.33"
"01020","Kuartango","601.12","560.22","550.28","551.25","513.89","530.56"
"01028","Labastida/Bastida","550.24","468.31","501.01","568.38","587.40","639.03"
"01030","Lagrán","439.56","473.40","463.54","502.59","447.92","494.85"
"01031","Laguardia","570.48","466.84","516.39","577.10","528.98","529.69"
"01032","Lanciego/Lantziego","531.30","469.12","510.95","570.59","554.72","581.29"
"48051","Lanestosa","392.86","428.57","434.48","407.67","408.60","397.16"
"01902","Lantarón","473.20","543.75","545.74","543.18","521.83","516.30"
"01033","Lapuebla de Labarca","512.61","475.39","488.84","563.81","568.40","586.37"
"48052","Larrabetzu","602.32","646.20","681.18","703.46","674.32","679.12"
"20048","Larraul","366.53","413.93","352.68","398.96","401.13","395.48"
"20902","Lasarte-Oria","380.94","319.09","375.90","458.35","397.41","469.19"
"01036","Laudio/Llodio","295.37","285.27","288.71","362.08","291.01","289.13"
"48053","Laukiz","521.90","452.76","510.22",NA,"427.26","458.72"
"20049","Lazkao","376.19","384.96","384.44","392.60","413.44","411.08"
"20050","Leaburu","363.17","423.77","432.64","431.58","397.30","400.54"
"20051","Legazpi","380.52","387.51","385.69","389.97","419.54","413.31"
"20052","Legorreta","369.23","381.37","385.73","393.13","358.42","365.23"
"01058","Legutio","391.73","402.09","407.27","424.61","464.19","473.29"
"20068","Leintz-Gatzaga","647.73","626.42","575.88","649.61","649.61","634.54"
"48054","Leioa","361.51","369.12","296.14","288.14","292.94","294.01"
"48057","Lekeitio","477.74","448.69","473.94","464.71","474.11","489.11"
"48055","Lemoa","458.96","467.16","444.92","450.40","436.61","420.70"
"48056","Lemoiz","458.09","484.47","1527.20","1621.01","426.44","436.21"
"01034","Leza","506.49","469.03","504.39","566.37","575.22","573.33"
"48081","Lezama","594.44","638.96","636.18","655.33","619.83","649.67"
"20053","Lezo","382.76","402.96","401.74","451.81","88.56","77.76"
"20054","Lizartza","362.52","417.32","434.57","433.99","406.25","395.39"
"48903","Loiu","552.78","658.86","603.51","581.74","561.05","552.98"
"48058","Mallabia","365.25","371.06","378.75","382.07","306.00","310.10"
"48060","Markina-Xemein","374.22","375.10","400.84","401.86","374.97","363.41"
"48061","Maruri-Jatabe","451.51","448.12","446.53","372.78","350.30","384.81"
"48059","Mañaria","403.54","457.73","449.37","454.94","549.02","430.77"
"20901","Mendaro","361.01","378.00","289.89","296.77","287.41","290.26"
"48062","Mendata","396.37","376.66","387.10","363.64","344.44","315.94"
"48063","Mendexa","463.13","464.79","549.64","566.50","591.26","606.47"
"48064","Meñaka","428.99","429.21","395.42","364.06","208.54","398.95"
"01039","Moreda de Álava / Moreda Araba","549.02","473.48","523.99","574.55","1039.71","1122.30"
"48066","Morga","637.68","440.59","473.55","422.50","350.62","327.67"
"48068","Mundaka","567.15","576.92","617.95","609.95","476.96","515.68"
"48069","Mungia","408.79","396.78","526.14","513.14","422.46","393.21"
"48007","Munitibar-Arbatzegi Gerrikaitz-","427.54","445.54","487.11","485.56","527.70","524.93"
"48908","Murueta","394.82","677.42","504.89","483.55","342.47","350.88"
"48071","Muskiz","451.75","467.08","473.35",NA,"458.51",NA
"20057","Mutiloa","371.90","387.23","370.04","401.91","353.26","395.06"
"20056","Mutriku","420.20","380.02","359.50","356.61","335.15","336.70"
"48067","Muxika","338.10","362.77","366.60","350.55","273.42","273.01"
"48909","Nabarniz","399.14","385.96","521.93","356.83","438.05","182.61"
"01041","Navaridas","509.52","476.64","502.28","567.44","563.98","583.73"
"20063","Oiartzun","435.04","469.00","476.19","479.32","490.80","619.71"
"01042","Okondo","327.59","301.29","264.49","387.40","292.97","297.03"
"20058","Olaberria","384.13","387.40","380.25","392.24","417.85","412.85"
"48073","Ondarroa","387.56","422.38","376.97","359.02","342.03","345.95"
"20076","Ordizia","381.43","388.10","379.10","398.10","409.47","410.87"
"20905","Orendain","358.29","417.58","426.97","427.75","392.86","396.34"
"20060","Orexa","368.85","421.49","364.41","396.23","1419.35","1379.31"
"20061","Orio","552.00",NA,NA,NA,"42.84","43.36"
"20062","Ormaiztegi","376.99","367.78","386.21","394.55","412.23","411.72"
"48075","Orozko","522.64","554.67","583.16",NA,"379.04","327.06"
"48083","Ortuella","449.52","426.46","438.59","413.82","375.26","341.20"
"48072","Otxandio","444.44","1014.68","500.42","516.16","414.21","414.29"
"01043","Oyón-Oion","509.69","463.53","498.04","568.64","555.25","572.83"
"20059","Oñati","310.33","326.36","309.38","299.53","288.99","289.18"
"20064","Pasaia","405.16","463.77","459.55","457.34","477.13","459.71"
"01044","Peñacerrada-Urizaharra","273.04","316.73","339.69","377.43","444.02","496.15"
"48077","Plentzia","455.43","500.00","554.69","568.59","515.09","438.81"
"48078","Portugalete","336.07","394.27","395.11","386.12",NA,NA
"01047","Ribera Baja/Erribera Beitia","447.64","446.88","516.49","537.70","505.15","507.49"
"01051","Salvatierra/Agurain","329.75","397.88","341.74","342.76","359.88","365.23"
"01052","Samaniego","546.30","475.31",NA,NA,"1297.73","1253.97"
"01053","San Millán/Donemiliaga","370.47","368.86","358.90","343.84","417.25","420.17"
"48082","Santurtzi","338.41","338.19","314.27","308.13","376.82",NA
"20070","Segura","368.24","385.84","379.08","400.00","416.13","413.96"
"48084","Sestao","325.59","333.25","336.17","329.62","334.51","323.97"
"48904","Sondika","590.15","620.18","661.06","669.69","615.88","628.66"
"48085","Sopela","546.89","428.26","437.08","431.29","434.98","427.29"
"48086","Sopuerta","378.96","402.27","392.65","365.42","361.88","358.52"
"20065","Soraluze-Placencia de las Armas","385.64","402.99","382.60","367.89","339.56","337.11"
"48076","Sukarrieta","709.40","841.95","767.91","669.49","563.38","558.66"
"20071","Tolosa","368.18","420.78","446.03","436.06",NA,NA
"48087","Trucios-Turtzioz","359.40","298.70","404.02","363.81","372.14","358.63"
"48088","Ubide","493.90","537.50","477.71","467.95","556.96","550.00"
"48065","Ugao-Miraballes","410.15","399.55","405.38","377.55","370.55","361.18"
"48089","Urduliz","496.15","529.38","517.05",NA,"480.88","458.71"
"48074","Urduña/Orduña","355.98","356.38","396.78","414.34","416.97","395.26"
"01054","Urkabustaiz","329.01","382.85","390.43","415.53","429.69","432.07"
"20072","Urnieta","388.27",NA,NA,NA,"493.87","463.36"
"20077","Urretxu","374.19","384.73","386.18",NA,"399.94","388.35"
"20073","Usurbil","339.76","477.46","482.80","475.44","579.76","572.76"
"01055","Valdegovía/Gaubea","465.52","521.82","515.93","536.56","518.17","518.90"
"48080","Valle de Trápaga-Trapagaran","393.19","438.68","442.10","423.32","451.29","419.84"
"20075","Villabona","367.40","421.69","445.35","435.78","383.08","383.01"
"01057","Villabuena de Álava/Eskuernaga","567.82","465.41","534.81","584.38","697.53","698.76"
"01059","Vitoria-Gasteiz","332.58","321.67","323.40","312.53",NA,NA
"01060","Yécora/Iekora","530.41","463.58","503.38","568.97","554.77","575.09"
"48095","Zaldibar","400.92","414.06","409.62","421.58","424.20","347.31"
"20078","Zaldibia","378.22","384.82",NA,NA,"423.39","413.79"
"01061","Zalduondo","301.59","324.32","367.57","342.54","578.03","602.41"
"48096","Zalla","392.49","402.35","406.77","397.09","373.12","368.11"
"01062","Zambrana","463.16","535.33","545.96","545.71","523.29","519.23"
"48905","Zamudio","665.32","693.62","664.08","669.37","667.71","673.41"
"48097","Zaratamo","490.71","487.92","497.08","501.50","489.01","547.07"
"20079","Zarautz","499.27","438.43",NA,"576.10",NA,NA
"48024","Zeanuri","449.85","480.36","458.46","454.47","452.98","457.17"
"48025","Zeberio","144.75","177.80","191.23","175.31","165.54","181.29"
"20025","Zegama","366.64","382.21","381.55","397.68","411.76","413.79"
"20026","Zerain","378.05","389.34","390.24","394.31","426.23","418.70"
"20027","Zestoa","413.72","386.62","396.72","354.95","398.04","347.88"
"48913","Zierbena","796.40","779.08","814.34",NA,"551.05","514.13"
"01018","Zigoitia","444.38","379.25","388.78","418.49","423.55","419.19"
"48915","Ziortza-Bolibar","410.45","373.74","298.73","300.77","776.04","363.41"
"20028","Zizurkil","370.60","422.39","457.38","441.61","815.47","805.77"
"01063","Zuia","391.49","385.74","420.03","430.03","427.77","421.80"
"20081","Zumaia","415.64","416.23","423.32","441.45","580.34","447.15"
"20080","Zumarraga","380.20","386.65","387.73","389.41","406.99","396.31"
