"Udalerri kodea","Udalerria","2014","2013","2011","2009","2006","2003","2001","1997"
"20022","Berastegi","20.106.00","19.712.00","20.473.00","19.882.00","17.491.00","13.335.00","11.423.00","9.110.00"
"20074","Bergara","20.818.00","20.615.00","21.295.00","21.280.00","18.296.00","15.303.00","14.569.00","11.145.00"
"48017","Bermeo","17.444.00","17.852.00","16.891.00","16.151.00","14.488.00","11.331.00","10.380.00","8.563.00"
"01016","Bernedo","18.229.00","18.446.00","18.314.00","18.523.00","14.994.00","12.884.00","11.477.00","8.058.00"
"48018","Berriatua","17.582.00","17.278.00","16.015.00","15.734.00","14.575.00","12.692.00","11.275.00","9.290.00"
"48019","Berriz","18.957.00","18.664.00","18.593.00","18.588.00","16.703.00","13.353.00","12.033.00","9.290.00"
"20023","Berrobi","17.868.00","18.836.00","17.915.00","16.992.00","16.015.00","12.786.00","11.160.00","8.750.00"
"20024","Bidania-Goiatz","18.117.00","17.603.00","17.222.00","16.897.00","14.237.00","11.807.00","11.036.00","8.869.00"
"48020","Bilbao","19.761.00","19.717.00","19.787.00","20.081.00","18.196.00","13.922.00","12.881.00","10.546.00"
"48021","Busturia","18.519.00","18.785.00","18.661.00","18.681.00","16.823.00","12.139.00","11.726.00","8.961.00"
"01017","Campezo/Kanpezu","16.211.00","16.352.00","17.421.00","17.846.00","13.109.00","11.513.00","10.293.00","7.917.00"
"20029","Deba","19.394.00","19.080.00","19.679.00","20.208.00","16.843.00","13.470.00","12.523.00","9.616.00"
"48901","Derio","18.486.00","18.391.00","18.281.00","17.837.00","17.028.00","12.299.00","11.303.00","8.731.00"
"48026","Dima","20.770.00","20.632.00","20.288.00","20.334.00","18.846.00","14.926.00","13.280.00","10.696.00"
"20069","Donostia / San Sebastián","22.583.00","22.268.00","23.008.00","23.054.00","20.056.00","15.496.00","14.895.00","11.405.00"
"48027","Durango","20.976.00","20.998.00","20.872.00","21.035.00","17.044.00","14.290.00","13.685.00","10.992.00"
"48028","Ea","18.665.00","18.835.00","19.165.00","19.298.00","17.128.00","13.875.00","11.710.00","9.312.00"
"20030","Eibar","19.125.00","19.151.00","19.675.00","19.392.00","17.209.00","13.585.00","12.866.00","9.723.00"
"48031","Elantxobe","17.132.00","16.568.00","16.483.00","15.927.00","14.590.00","10.415.00","9.624.00","7.068.00"
"01021","Elburgo/Burgelu","23.604.00","24.080.00","24.893.00","24.886.00","21.672.00","18.848.00","16.363.00","9.339.00"
"01022","Elciego","18.093.00","17.465.00","17.489.00","18.059.00","16.654.00","13.314.00","11.098.00","10.420.00"
