"Udalerri kodea","Udalerria","2008","2004"
"20058","Olaberria","4.40","2.71"
"48073","Ondarroa","0.34","0.26"
"20076","Ordizia","1.73","1.73"
"20905","Orendain","0.00","0.00"
"20060","Orexa","0.00","0.00"
"20061","Orio","0.48","0.08"
"20062","Ormaiztegi","1.53","1.27"
"48075","Orozko","0.02","0.02"
"48083","Ortuella","16.63","25.07"
"48072","Otxandio","0.26","0.22"
"01043","Oyón-Oion","1.08","1.10"
"20059","Oñati","0.50","0.46"
"20064","Pasaia","1.26","1.26"
"01044","Peñacerrada-Urizaharra","0.02","0.01"
"48077","Plentzia","0.14","0.11"
"48078","Portugalete","9.94","5.59"
"01047","Ribera Baja/Erribera Beitia","0.43","0.42"
"01051","Salvatierra/Agurain","2.26","1.74"
"01052","Samaniego","0.31","0.04"
"01053","San Millán/Donemiliaga","0.11","0.08"
"48082","Santurtzi","11.25","9.97"
"20070","Segura","0.12","0.12"
"48084","Sestao","55.55","52.63"
"48904","Sondika","3.49","3.34"
"48085","Sopela","0.86","0.80"
"48086","Sopuerta","0.23","0.23"
"20065","Soraluze-Placencia de las Armas","0.78","0.67"
"48076","Sukarrieta","0.03","0.03"
"20071","Tolosa","0.82","0.64"
"48087","Trucios-Turtzioz","0.01","0.02"
"48088","Ubide","0.00","0.00"
"48065","Ugao-Miraballes","2.27","2.27"
"48089","Urduliz","1.87","0.75"
"48074","Urduña/Orduña","0.31","0.20"
"01054","Urkabustaiz","0.06","0.05"
"20072","Urnieta","1.39","1.25"
"20077","Urretxu","2.84","2.31"
"20073","Usurbil","0.93","0.73"
"01055","Valdegovía/Gaubea","0.03","0.01"
"48080","Valle de Trápaga-Trapagaran","19.00","18.65"
"20075","Villabona","0.77","0.79"
"01057","Villabuena de Álava/Eskuernaga","0.13","0.05"
"01059","Vitoria-Gasteiz","2.35","2.55"
"01060","Yécora/Iekora","0.05","0.04"
"48095","Zaldibar","0.89","0.52"
"20078","Zaldibia","0.55","0.59"
"01061","Zalduondo","0.09","0.10"
"48096","Zalla","0.52","0.33"
"01062","Zambrana","0.13","0.13"
"48905","Zamudio","0.59","0.59"
"48097","Zaratamo","1.95","0.46"
"20079","Zarautz","1.06","0.67"
"48024","Zeanuri","0.02","0.01"
"48025","Zeberio","0.01","0.01"
"20025","Zegama","0.11","0.13"
"20026","Zerain","0.24","0.24"
"20027","Zestoa","0.49","0.06"
"48913","Zierbena","1.24","1.24"
"01018","Zigoitia","0.01","0.01"
"48915","Ziortza-Bolibar","0.32","0.20"
"20028","Zizurkil","0.52","0.41"
"01063","Zuia","0.06","0.01"
"20081","Zumaia","2.40","2.07"
"20080","Zumarraga","2.15","1.86"
