"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"20054","Lizartza","0.51","0.51","0.50","0.50","0.50","0.50","0.49","0.49","0.59","1.58","1.58"
"48903","Loiu","4.39","4.39","4.39","4.39","4.39","1.24","1.27","1.15","1.09","0.92","0.80"
"48058","Mallabia","0.79","0.80","0.80","0.80","0.80","0.79","0.79","0.79","0.75","0.75","0.75"
"48060","Markina-Xemein","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.31","0.31","0.31"
"48061","Maruri-Jatabe","0.45","0.45","0.45","0.45","0.45","0.45","0.45","0.45","1.53","1.53","1.53"
"48059","Mañaria","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30"
"20901","Mendaro","0.69","0.69","0.69","0.69","0.69","0.69","0.72","0.72","0.88","0.88","0.88"
"48062","Mendata","0.53","0.53","0.53","0.53","0.53","0.54","0.54","0.54","0.64","0.62","0.62"
"48063","Mendexa","0.81","0.81","0.81","0.89","0.81","0.81","0.75","0.75","0.75","0.75","0.75"
"48064","Meñaka","0.84","0.43","0.43","0.43","0.43","0.43","0.44","0.44","0.45","0.45","0.45"
"01039","Moreda de Álava / Moreda Araba","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.70","0.66","0.66"
"48066","Morga","0.78","0.68","0.68","0.68","0.68","0.68","0.64","0.64","0.64","0.64","0.64"
"48068","Mundaka","3.42","1.04","1.04","1.04","1.04","0.98","0.98","0.98","0.96","0.96","0.96"
"48069","Mungia","2.76","2.76","2.76","2.76","2.76","2.62","2.77","2.77","2.80","2.80","2.79"
"48007","Munitibar-Arbatzegi Gerrikaitz-","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.58","0.58","0.59"
"48908","Murueta","0.93","0.93","0.93","0.93","0.84","0.81","0.73","0.73","0.73","0.73","0.73"
"48071","Muskiz","5.07","5.07","5.07","5.08","5.08","5.10","4.83","4.82","4.72","4.72","4.72"
"20057","Mutiloa","0.60","0.60","0.60","0.60","0.60","0.60","0.34","0.34","0.34","0.34","0.34"
"20056","Mutriku","0.88","0.88","0.88","0.88","0.87","0.87","0.86","0.86","0.86","0.95","0.95"
"48067","Muxika","0.55","0.55","0.55","0.55","0.55","0.55","0.55","0.56","0.61","0.61","0.61"
"48909","Nabarniz","0.25","0.25","0.25","0.25","0.25","0.25","0.24","0.24","0.24","0.24","0.24"
"01041","Navaridas","0.38","0.38","0.38","0.38","0.38","0.39","0.47","0.47","0.47","0.47","0.47"
