"Udalerri kodea","Udalerria","2015","2014","2013","2011","2010","2006","2001","1996","1991"
"01028","Labastida/Bastida","47.60","46.60","45.90","44.70","44.50","42.03","35.31","30.48","23.03"
"01030","Lagrán","43.00","42.20","41.40","40.40","39.40","37.22","43.70","27.31","29.14"
"01031","Laguardia","88.40","86.90","85.90","84.50","83.40","81.29","79.78","87.02","70.09"
"01032","Lanciego/Lantziego","39.00","38.10","37.30","36.10","34.10","31.26","28.23","26.43","32.95"
"48051","Lanestosa","52.90","51.80","50.80","49.40","54.50","51.53","46.39","42.16","75.40"
"01902","Lantarón","72.30","71.40","70.20","69.30","66.40","63.33","61.84","53.40","75.51"
"01033","Lapuebla de Labarca","63.60","62.50","61.90","63.80","65.40","64.47","54.69","55.01","37.82"
"48052","Larrabetzu","43.80","42.80","41.60","41.10","39.80","41.31","44.88","42.43","34.86"
"20048","Larraul","39.10","38.10","37.10","37.60","35.50","36.00","50.94","52.56","56.19"
"20902","Lasarte-Oria","36.90","35.90","35.30","34.70","33.40","31.08","29.31","26.41","23.74"
"01036","Laudio/Llodio","39.30","38.30","37.20","36.40","37.20","35.33","31.96","28.11","33.87"
"48053","Laukiz","35.60","34.70","34.20","34.00","34.20","30.47","28.90","25.06","28.66"
"20049","Lazkao","39.00","38.40","37.40","36.40","36.60","34.49","32.81","29.30","59.63"
"20050","Leaburu","54.40","52.70","51.70","50.40","48.20","46.21","37.56","38.26","30.23"
"20051","Legazpi","43.10","42.20","41.10","40.50","39.60","37.25","35.45","32.32","35.21"
"20052","Legorreta","43.20","42.80","40.70","39.60","38.50","36.18","34.28","30.77","48.30"
"01058","Legutio","41.40","40.30","39.50","40.80","43.20","43.23","42.02","42.17","72.60"
"20068","Leintz-Gatzaga","43.40","42.40","41.40","40.30","39.30","36.11","33.87","30.11","21.61"
"48054","Leioa","32.20","31.70","31.40","31.20","29.60","28.44","26.06","23.94","36.56"
"48057","Lekeitio","47.60","46.60","45.60","44.90","43.10","41.26","37.52","34.44","35.25"
