"Udalerri kodea","Udalerria","2005","2004","2003","2002"
"01043","Oyón-Oion","363.83","504.34","393.43","435.66"
"20059","Oñati","307.62","274.56","229.42","215.29"
"20064","Pasaia","454.87","444.42","392.31","369.64"
"01044","Peñacerrada-Urizaharra","222.75","206.55","336.77","374.18"
"48077","Plentzia","315.85","289.73","274.47","200.90"
"48078","Portugalete","326.73","313.58","275.76","246.36"
"01047","Ribera Baja/Erribera Beitia","430.20","313.98","379.70","426.68"
"01051","Salvatierra/Agurain","560.17","580.96","620.83","457.64"
"01052","Samaniego","1507.81","1639.46","1726.90","1620.74"
"01053","San Millán/Donemiliaga","598.65","573.82","492.47","512.71"
"48082","Santurtzi","450.27","440.41","379.09","327.28"
"20070","Segura","245.40","283.22","166.74","247.53"
"48084","Sestao","435.26","415.90","342.27","315.22"
"48904","Sondika","280.53","238.23","223.27","194.61"
"48085","Sopela","290.66","270.46","228.09","203.22"
"48086","Sopuerta","361.81","420.43","365.09","315.74"
"20065","Soraluze-Placencia de las Armas","327.33","273.85","233.68","199.55"
"48076","Sukarrieta","315.43","263.17","244.59","186.66"
"20071","Tolosa","423.26","445.65","375.90","398.93"
"48087","Trucios-Turtzioz","406.18","324.62","275.70","246.64"
"48088","Ubide","306.64","382.93","225.92","288.27"
"48065","Ugao-Miraballes","274.39","243.02","206.28","185.32"
"48089","Urduliz","273.85","270.18","247.57","219.19"
"48074","Urduña/Orduña","455.61","432.70","327.50","308.21"
"01054","Urkabustaiz","252.48","273.08","218.63","161.73"
"20072","Urnieta","308.48","273.76","229.51","192.84"
"20077","Urretxu","311.16","275.45","250.13","222.76"
"20073","Usurbil","328.33","317.92","267.04","258.70"
"01055","Valdegovía/Gaubea","690.14","624.47","744.59","541.75"
"48080","Valle de Trápaga-Trapagaran","382.52","367.85","347.13","315.13"
"20075","Villabona","298.25","284.29","237.28","200.99"
"01057","Villabuena de Álava/Eskuernaga","492.86","538.88","418.91","515.23"
"01059","Vitoria-Gasteiz","553.37","544.83","492.50","437.03"
"01060","Yécora/Iekora","304.16","316.88","371.85","2888.35"
"48095","Zaldibar","287.83","282.48","239.58","254.43"
"20078","Zaldibia","332.85","305.91","291.58","287.15"
"01061","Zalduondo","284.63","264.03","362.79","287.27"
"48096","Zalla","400.09","345.17","327.08","297.58"
"01062","Zambrana","1045.19","890.69","948.38","779.64"
"48905","Zamudio","264.72","239.33","197.74","181.55"
"48097","Zaratamo","316.23","253.48","220.97","194.53"
"20079","Zarautz","268.14","235.39","212.01","194.30"
"48024","Zeanuri","248.56","248.31","225.74","218.46"
"48025","Zeberio","342.42","285.78","245.44","249.67"
"20025","Zegama","405.66","389.74","345.60","277.37"
"20026","Zerain","310.54","284.81","301.69","179.04"
"20027","Zestoa","376.27","337.69","307.76","288.92"
"48913","Zierbena","274.03","282.62","235.95","214.07"
"01018","Zigoitia","242.90","305.59","239.79","277.18"
"48915","Ziortza-Bolibar","290.29","261.47","208.53","180.78"
"20028","Zizurkil","383.86","424.82","312.00","272.80"
"01063","Zuia","221.90","319.09","239.75","195.06"
"20081","Zumaia","273.78","233.84","192.86","188.79"
"20080","Zumarraga","334.48","322.24","271.33","231.78"
