"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48079","Errigoiti","7.53","5.61","5.62","3.77","0.00","11.67","15.72","17.89","20.04","18.18","26.53","35.20","37.66"
"20034","Eskoriatza","3.44","14.77","15.04","16.51","31.95","50.56","47.71","59.78","78.44","75.76","74.96","72.72","61.16"
"48029","Etxebarri","14.05","16.32","13.83","14.32","45.88","71.29","87.93","99.12","124.06","99.40","74.54","54.21","60.83"
"48030","Etxebarria","1.25","1.24","1.23","2.44","53.46","53.40","57.18","57.81","88.20","36.25","46.42","48.99","53.82"
"20035","Ezkio-Itsaso","32.63","27.82","34.60","38.21","126.90","107.08","117.13","125.00","125.89","30.09","29.88","21.24","7.16"
"48906","Forua","2.07","2.04","4.04","4.03","3.02","3.03","41.54","43.61","45.50","51.26","52.05","19.08","18.16"
"48035","Fruiz","5.65","3.91","6.19","87.53","111.37","160.67","178.66","186.70","104.99","72.78","61.11","105.11","104.35"
"20038","Gabiria","12.17","14.20","26.58","27.14","34.19","65.93","65.76","60.47","60.61","60.89","16.43","21.03","32.48"
"20037","Gaintza","0.00","0.00","0.00","15.50","15.15","15.15","53.44","54.26","85.27","85.27","107.69","68.18","67.16"
"48036","Galdakao","9.58","15.34","16.04","19.16","21.17","19.96","25.10","27.83","26.30","24.04","22.59","18.23","16.90"
"48037","Galdames","2.42","4.80","4.77","9.57","14.41","21.79","37.67","37.94","44.17","43.16","62.89","45.85","48.63"
"48038","Gamiz-Fika","1.49","1.49","1.50","3.03","4.59","3.85","37.30","40.78","41.96","68.16","70.09","39.93","59.93"
"48039","Garai","0.00","3.03","6.06","9.12","9.32","22.58","29.80","30.51","69.93","61.59","74.63","153.85","159.36"
"48040","Gatika","4.95","5.62","2.52","1.27","1.30","5.31","28.67","33.76","69.72","84.95","87.85","67.24","65.39"
"48041","Gautegiz Arteaga","3.40","3.39","4.51","4.54","3.44","12.60","12.60","24.03","27.46","22.96","24.31","33.84","28.47"
"20907","Gaztelu","11.83","11.83","12.05","18.07","6.02","18.52","18.87","18.99","12.90","13.33","13.33","13.25","13.25"
"48046","Gernika-Lumo","10.70","10.52","10.28","10.97","21.93","47.20","49.14","56.13","63.54","18.39","23.79","26.64","35.53"
"20039","Getaria","3.69","40.58","41.24","43.07","42.81","45.98","8.59","8.66","37.30","38.34","52.17","56.68","64.79"
"48044","Getxo","6.58","6.38","6.17","6.29","6.80","4.68","6.90","9.44","10.17","10.92","10.83","9.88","8.77"
"48047","Gizaburuaga","0.00","0.00","0.00","0.00","15.62","37.63","39.77","90.91","96.15","192.05","201.39","72.14","52.24"
"48042","Gordexola","0.58","0.58","0.58","3.46","12.24","15.45","18.19","66.46","69.80","74.69","78.39","57.84","24.75"
"48043","Gorliz","25.01","25.52","24.86","21.11","36.09","36.15","34.50","47.72","57.12","36.84","43.92","53.23","56.28"
"48045","Güeñes","18.30","18.36","18.31","18.92","61.67","43.53","44.03","48.82","56.21","16.57","24.09","66.28","97.22"
"01056","Harana/Valle de Arana","0.00","7.25","7.02","10.17","9.93","9.65","12.54","12.35","9.12","8.98","8.90","8.85","8.75"
"20040","Hernani","17.14","21.53","33.16","33.72","29.31","26.50","18.87","7.48","12.87","12.56","19.61","27.77","27.22"
