"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"48049","Ispaster","2.12","2.12","2.12","2.10","2.06","2.08","2.08","2.08","2.16","2.16"
"20047","Itsasondo","2.49","2.51","2.51","2.50","3.12","2.55","3.35","3.35","3.34","3.34"
"48910","Iurreta","11.51","11.51","11.51","11.46","10.96","10.99","10.81","10.81","10.75","10.75"
"48050","Izurtza","6.12","8.30","8.30","8.05","7.20","7.14","7.14","7.14","7.21","7.21"
"48022","Karrantza Harana/Valle de Carranza","0.68","0.68","0.68","0.70","0.68","0.68","0.68","0.68","0.69","0.68"
"48907","Kortezubi","0.89","0.89","0.89","0.89","0.95","0.94","0.93","0.93","0.94","0.94"
"01019","Kripan","1.69","1.69","1.69","1.70","1.79","0.86","0.86","1.75","1.75","1.75"
"01020","Kuartango","1.48","1.48","1.48","1.47","1.51","1.51","1.51","1.51","1.57","1.57"
"01028","Labastida/Bastida","3.54","3.54","3.54","3.54","3.09","3.10","3.07","3.07","3.06","3.06"
"01030","Lagrán","2.08","2.08","2.08","2.11","1.94","1.93","1.93","2.04","2.04","2.04"
"01031","Laguardia","3.76","3.76","3.76","3.67","4.85","4.94","4.93","4.93","4.94","4.94"
"01032","Lanciego/Lantziego","3.68","3.68","3.68","3.69","3.68","3.57","3.57","3.57","3.57","3.57"
"48051","Lanestosa","25.70","25.70","25.70","25.70","24.56","21.54","23.33","23.33","23.00","23.00"
"01902","Lantarón","4.30","4.30","4.30","4.26","4.04","4.43","4.43","4.43","4.32","4.32"
"01033","Lapuebla de Labarca","10.13","10.13","10.13","10.35","10.75","10.73","10.73","10.73","10.72","10.72"
"48052","Larrabetzu","4.86","4.90","4.90","5.00","4.68","4.64","4.61","4.61","4.53","4.53"
"20048","Larraul","0.74","0.74","0.74","0.75","0.81","0.76","0.76","1.42","1.46","1.42"
"20902","Lasarte-Oria","27.25","27.25","27.25","26.77","29.31","28.43","29.95","30.00","30.03","30.03"
"01036","Laudio/Llodio","9.52","9.52","9.49","9.57","9.34","9.30","9.28","8.85","8.82","8.82"
"48053","Laukiz","16.91","16.07","16.07","16.12","16.63","16.43","16.63","16.63","16.73","16.73"
"20049","Lazkao","9.55","9.53","9.53","9.53","10.16","10.34","10.34","10.44","10.57","10.41"
"20050","Leaburu","4.36","4.42","4.45","4.36","4.69","4.49","4.62","5.44","5.44","5.38"
"20051","Legazpi","4.35","4.35","4.35","4.32","4.21","4.23","4.23","4.23","4.01","4.01"
"20052","Legorreta","6.45","6.45","6.45","6.61","6.42","6.43","5.97","5.94","5.90","5.90"
"01058","Legutio","10.47","10.47","10.47","10.13","10.04","10.22","10.22","10.21","10.23","10.22"
"20068","Leintz-Gatzaga","0.59","0.59","0.61","0.60","0.58","0.58","0.65","0.65","0.65","0.75"
"48054","Leioa","62.72","62.86","62.82","63.26","69.22","67.26","67.25","67.25","67.85","68.53"
"48057","Lekeitio","51.65","51.65","51.76","62.69","56.76","54.37","54.37","54.37","54.42","54.32"
"48055","Lemoa","11.08","11.08","11.11","10.97","10.92","10.57","10.64","10.64","10.69","6.56"
"48056","Lemoiz","6.96","6.96","6.89","6.89","6.70","6.59","9.02","9.01","9.00","8.39"
