"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Barakaldo",NA,NA,NA,NA,NA,"7.57","8.12","8.09","8.49","8.78","9.16","9.17","8.58","8.74","8.34","8.02","7.75","7.5",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Barrika",NA,NA,NA,NA,NA,"0.79","0","0","0","0","0","0","0","0.66","0.66","0.65","1.3","1.96",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Barrundia",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Basauri",NA,NA,NA,NA,NA,"8.06","8.48","8.8","9.37","9.77","9.88","9.78","9.48","8.53","8.25","8.15","7.98","7.87",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Baños de Ebro/Mañueta",NA,NA,NA,NA,NA,"2.93","2.94","2.81","2.76","2.8","2.8","3","3.06","3.12","3.12","3.09","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Beasain",NA,NA,NA,NA,NA,"11.22","11.99","11.71","11.79","12.71","12.63","12.1","11.75","11.32","10.66","10.8","10.94","10.53",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Bedia",NA,NA,NA,NA,NA,"6.11","7.14","6.1","8.14","8.15","8.15","6.24","7.23","8.17","8.17","6.81","5.83","7.8",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Beizama",NA,NA,NA,NA,NA,"0","0","5.81","5.68","5.52","5.52","5.56","5.46","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Belauntza",NA,NA,NA,NA,NA,"6.78","3.41","6.71","6.51","6.39","6.39","6.85","6.85","10.56","7.04","3.77","3.94","4.08",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Berango",NA,NA,NA,NA,NA,"2.44","2.21","2.01","2.44","2.2","1.89","2.13","2.06","1.9","2.04","1.73","1.73","1.29",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Berantevilla",NA,NA,NA,NA,NA,"2.17","2.18","2.22","2.25","2.24","2.24","2.28","2.01","2.05","4.11","4.18","4.24","2.18",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Berastegi",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0.94","0.93",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Bermeo",NA,NA,NA,NA,NA,"9.29","9.93","9.51","9.66","10.31","10.42","10.75","9.97","9.76","8.94","8.18","8.06","7.81",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Bernedo",NA,NA,NA,NA,NA,"0","0","0","0","0","0","1.74","1.75","1.76","1.76","1.8","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Berriatua",NA,NA,NA,NA,NA,"2.86","3.61","3.45","4.15","4.77","4.77","3.82","4.72","3.98","3.18","3.22","4.07","4.11",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Berriz",NA,NA,NA,NA,NA,"4.04","4","4.12","4.45","4.59","4.8","4.3","4.31","4.32","4.11","3.74","3.76","3.37",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Berrobi",NA,NA,NA,NA,NA,"0","0","0","1.7","1.7","1.7","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Bidania-Goiatz",NA,NA,NA,NA,NA,"4.59","4.46","4.34","4.22","6.15","4.1","3.92","1.88","3.74","3.74","3.81","3.81","3.84",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Bilbao",NA,NA,NA,NA,NA,"9.87","10.45","10.21","10.59","11.35","11.37","11.25","10.72","10.25","9.84","9.57","9.28","9.17",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Busturia",NA,NA,NA,NA,NA,"1.19","1.77","1.75","2.32","2.32","2.32","2.29","2.26","1.14","1.14","1.17","1.18","1.2",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Campezo/Kanpezu",NA,NA,NA,NA,NA,"1.86","1.85","0.93","0.92","0.9","1.81","1.79","1.78","1.77","1.77","0.9","0.93","0.94",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Deba",NA,NA,NA,NA,NA,"7.78","8.16","7.18","8.24","9.1","9.28","9.06","8.33","7.55","6.63","6.62","6.41","6.4",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Derio",NA,NA,NA,NA,NA,"7.11","7.64","6.12","6.99","7.66","8.23","8.67","8.68","9.02","8.48","7.82","6.86","6.73",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Dima",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0.75","0.73","0.73","1.42","1.41","1.39",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Donostia / San Sebastián",NA,NA,NA,NA,NA,"11.26","11.83","11.71","12.35","13.18","13.11","12.41","11.93","11.47","10.98","10.77","10.5","10.3",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Durango",NA,NA,NA,NA,NA,"10.03","10.64","10.42","10.75","10.77","11.2","10.98","10.69","10.59","10.66","10.23","9.7","9.43",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ea",NA,NA,NA,NA,NA,"1.26","1.26","0","0","0","0","0","0","1.12","1.12","1.16","1.17","1.18",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Eibar",NA,NA,NA,NA,NA,"10.14","10.93","9.98","10.78","11.15","10.97","11.23","10.77","9.87","9.58","9.04","8.71","8.8",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Elantxobe",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Elburgo/Burgelu",NA,NA,NA,NA,NA,"2.25","2.16","2.09","1.99","3.81","3.81","5.55","3.3","3.19","3.19","3.22","1.62","1.64",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Elciego",NA,NA,NA,NA,NA,"3.21","3.21","3.2","3.1","2.96","2.96","2.87","2.86","3.84","3.84","2.86","2.85","2.92",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Elduain",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
