"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Berango",NA,NA,NA,NA,NA,NA,NA,"174.65","191.08","217.39","212.51","211.91",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Berantevilla",NA,NA,NA,NA,NA,NA,NA,"452.49","448.43","447.43","456.62","420.84",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Berastegi",NA,NA,NA,NA,NA,NA,NA,"164.51","164.51","160.04","171.35","203.62",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Bermeo",NA,NA,NA,NA,NA,NA,NA,"88.71","89.15","106.26","95.94","9.98",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Bernedo",NA,NA,NA,NA,NA,NA,NA,"297.01","290.88","362.24","370.43","469.57",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Berriatua",NA,NA,NA,NA,NA,NA,NA,"316.91","317.37","304.99","307.87","313.86",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Berriz",NA,NA,NA,NA,NA,NA,NA,"74.85","76.49","78.69","77.74","77.84",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Berrobi",NA,NA,NA,NA,NA,NA,NA,"149.66","149.91","149.41","206.67","218.75",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Bidania-Goiatz",NA,NA,NA,NA,NA,NA,NA,"243.53","233.95","229.67","221.57","312.62",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Bilbao",NA,NA,NA,NA,NA,NA,NA,"85.22","86.89","89.75","92.79","5.27",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Busturia",NA,NA,NA,NA,NA,NA,NA,"137.03","135.76","136.95","143.18","147.56",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Campezo/Kanpezu",NA,NA,NA,NA,NA,NA,NA,"339.53","330.02","329.42","326.48","324.16",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Deba",NA,NA,NA,NA,NA,NA,NA,"225.86","242.22","240.56","240.38","185.74",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Derio",NA,NA,NA,NA,NA,NA,NA,"215.98","276.44","296.97","316.56","312.73",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Dima",NA,NA,NA,NA,NA,NA,NA,"303.03","338.98","331.75","321.84","319.88",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Donostia / San Sebastián",NA,NA,NA,NA,NA,NA,NA,"148.15","150.1","141.11","151.06","153.63",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Durango",NA,NA,NA,NA,NA,NA,NA,"85.43","89.53","88.3","88.56","90.58",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ea",NA,NA,NA,NA,NA,NA,NA,"151.66","147.13","334.08","182.32","241.92",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Eibar",NA,NA,NA,NA,NA,NA,NA,"221.61","224.16","224.87","227.54","227.88",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elantxobe",NA,NA,NA,NA,NA,NA,NA,"500","496.64","547.95","519.27","346.24",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elburgo/Burgelu",NA,NA,NA,NA,NA,NA,NA,"375","343.51","228.14","258.78","203.74",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elciego",NA,NA,NA,NA,NA,NA,NA,"268.24","598.4","584.39","572.66","558.52",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elduain",NA,NA,NA,NA,NA,NA,NA,"227.91","268.72","254.24","252.1","255.32",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elgeta",NA,NA,NA,NA,NA,NA,NA,"252.69","245.48","243.81","239.48","237.26",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elgoibar",NA,NA,NA,NA,NA,NA,NA,"172.4","174.97","194.46","191.53","212.65",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elorrio",NA,NA,NA,NA,NA,NA,NA,"104.55","115.64","103.84","104.61","104.25",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Elvillar/Bilar",NA,NA,NA,NA,NA,NA,NA,"285.71","280.9","495.8","479.67","482.29",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Erandio",NA,NA,NA,NA,NA,NA,NA,"126.83","125.21","133.57","146.86","146.66",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ereño",NA,NA,NA,NA,NA,NA,NA,"105.06","103.85","39.53","232.56","232.56",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ermua",NA,NA,NA,NA,NA,NA,NA,"67.23","72.44","82.75","82.88","83.17",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Errenteria",NA,NA,NA,NA,NA,NA,NA,"117.27","117.7","125.28","124.44","126.19",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Errezil",NA,NA,NA,NA,NA,NA,NA,"57.28","55.29","56.09","55.73","58.44",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Erriberagoitia/Ribera Alta",NA,NA,NA,NA,NA,NA,NA,"305.65","319.18","309.22","299.45","160",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Errigoiti",NA,NA,NA,NA,NA,NA,NA,"59.88","58.71","38.61","38.99","37.81",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Eskoriatza",NA,NA,NA,NA,NA,NA,NA,"176.01","175.85","170.97","171.3","171.64",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Etxebarri",NA,NA,NA,NA,NA,NA,NA,"66.57","76.67","83.18","77.42","73.45",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Etxebarria",NA,NA,NA,NA,NA,NA,NA,"146.55","144.59","143.03","143.2","152.25",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ezkio-Itsaso",NA,NA,NA,NA,NA,NA,NA,"364.3","368.42","356.54","345.39",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Forua",NA,NA,NA,NA,NA,NA,NA,"300.51","202.07","197.77","191.93","192.69",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Fruiz",NA,NA,NA,NA,NA,NA,NA,"181.59","180.69","210.78","203.31","220",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gabiria",NA,NA,NA,NA,NA,NA,NA,"116.55","133.64","133.93","126.58","154.47",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gaintza",NA,NA,NA,NA,NA,NA,NA,"159.09","154.41","174.24","174.24","179.69",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Galdakao",NA,NA,NA,NA,NA,NA,NA,"107.78","115.24","130.91","135.67","137.9",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Galdames",NA,NA,NA,NA,NA,NA,NA,"120.54","132.69","143.91","679.81","577.57",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gamiz-Fika",NA,NA,NA,NA,NA,NA,NA,"71.37","71.71","71.71","69.8","138.66",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Garai",NA,NA,NA,NA,NA,NA,NA,"501.79","524.27","504.67","540.88","547.99",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gatika",NA,NA,NA,NA,NA,NA,NA,"90.91","128.42","180.92","176.4","175.16",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gautegiz Arteaga",NA,NA,NA,NA,NA,NA,NA,"387.76","399.54","406.9","404.57","413.12",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gaztelu",NA,NA,NA,NA,NA,NA,NA,"197.37","176.47","180.72","189.87","180.72",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gernika-Lumo",NA,NA,NA,NA,NA,NA,NA,"59.53","62.46","62.13","92.34","92.05",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Getaria",NA,NA,NA,NA,NA,NA,NA,"224.55","224.38","219.34","215.75","211.96",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Getxo",NA,NA,NA,NA,NA,NA,NA,"75.08","77.37","77.95","78.94","82.45",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gizaburuaga",NA,NA,NA,NA,NA,NA,NA,"134.08","137.93","159.34","163.27","159.2",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gordexola",NA,NA,NA,NA,NA,NA,NA,"642.54","686.17","692.49","706.49","706.9",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Gorliz",NA,NA,NA,NA,NA,NA,NA,"99.03","99.5","141.86","138.89","417.95",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Güeñes",NA,NA,NA,NA,NA,NA,NA,"323.51","787.53","865.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Harana/Valle de Arana",NA,NA,NA,NA,NA,NA,NA,"313.07","329.07","218.65","222.95","229.73",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
