"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Astigarraga",NA,NA,NA,NA,NA,NA,NA,"8.46","8.66","21.39","16.47","15.46",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ataun",NA,NA,NA,NA,NA,NA,NA,"12.16","12.15","12.15","12.15","19.63",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Atxondo",NA,NA,NA,NA,NA,NA,NA,"1.21","1.21","1.21","1.21","1.21",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Aulesti",NA,NA,NA,NA,NA,NA,NA,"5.93","5.94","48.51","48.51","48.51",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ayala/Aiara",NA,NA,NA,NA,NA,NA,NA,"0.24","0.24","3.41","3.41","3.31",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Azpeitia",NA,NA,NA,NA,NA,NA,NA,"14.67","14.73","14.74","11.45","11.45",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Añana",NA,NA,NA,NA,NA,NA,NA,"0.66","0.66","4.61","5.26","5.26",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Bakio",NA,NA,NA,NA,NA,NA,NA,"8.78","8.78","8.78","8.73","10.72",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Baliarrain",NA,NA,NA,NA,NA,NA,NA,"4.88","5","47.62","50","25",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Balmaseda",NA,NA,NA,NA,NA,NA,NA,"0.19","0.19","1.89","1.9","2.65",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Barakaldo",NA,NA,NA,NA,NA,NA,NA,"10.56","10.1","12.28","12.28","12.28",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Barrika",NA,NA,NA,NA,NA,NA,NA,"6.82","18.18","34.34","40.4","40.4",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Barrundia",NA,NA,NA,NA,NA,NA,NA,"4.12","4.11","1.9","1.9","1.9",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Basauri",NA,NA,NA,NA,NA,NA,NA,"15.16","15.44","15.28","14.92","14.92",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Baños de Ebro/Mañueta",NA,NA,NA,NA,NA,NA,NA,"2.73","2.72","2.09","2.09","1.99",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Beasain",NA,NA,NA,NA,NA,NA,NA,"6.92","6.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Bedia",NA,NA,NA,NA,NA,NA,NA,"4.35","4.35","7.26","7.26","7.26",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Beizama",NA,NA,NA,NA,NA,NA,NA,"68.7","69.23","7.69","7.69","7.69",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Belauntza",NA,NA,NA,NA,NA,NA,NA,"1.18","1.18","1.18","1.18","3.94",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Berango",NA,NA,NA,NA,NA,NA,NA,"11.99","11.98","7.29","7.29","7.29",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Berantevilla",NA,NA,NA,NA,NA,NA,NA,"16.36","14.14","14.14","14.14","14.14",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Berastegi",NA,NA,NA,NA,NA,NA,NA,"1.41","1.55","2.58","2.58","2.58",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Bermeo",NA,NA,NA,NA,NA,NA,NA,"19.18","18.51","18.51","19.25","18.04",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Bernedo",NA,NA,NA,NA,NA,NA,NA,"0.84","0.84","2.4","2.4","2.4",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Berriatua",NA,NA,NA,NA,NA,NA,NA,"4.54","4.47","4.4","4.4","4.4",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Berriz",NA,NA,NA,NA,NA,NA,NA,"28.27","30.4","33.08","33.02","29.62",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Berrobi",NA,NA,NA,NA,NA,NA,NA,"31.15","4.17","4.17","28.38","29.73",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Bidania-Goiatz",NA,NA,NA,NA,NA,NA,NA,"27.9","27.83","27.83","27.83","17.39",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Bilbao",NA,NA,NA,NA,NA,NA,NA,"9.69","10.86","11.37","15.6","13.3",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Busturia",NA,NA,NA,NA,NA,NA,NA,"58.82","58.88","58.88","58.88","59.55",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Campezo/Kanpezu",NA,NA,NA,NA,NA,NA,NA,"3.66","3.66","3.66","3.66","3.66",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Deba",NA,NA,NA,NA,NA,NA,NA,"9.75","4.97","4.97","4.56","4.02",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Derio",NA,NA,NA,NA,NA,NA,NA,"4.7","4.98","8.78","8.79","8.79",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Dima",NA,NA,NA,NA,NA,NA,NA,"17.77","21.57","19.61","2.66","2.66",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Donostia / San Sebastián",NA,NA,NA,NA,NA,NA,NA,"23.24","23.24","38.12","37.29","59.94",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Durango",NA,NA,NA,NA,NA,NA,NA,"63.09","60.64","60.64","10.42","10.6",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ea",NA,NA,NA,NA,NA,NA,NA,"19.7","19.51","19.51","21.95","607.32",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Eibar",NA,NA,NA,NA,NA,NA,NA,"9.42","11.31","9.08","3.5","3.4",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elantxobe",NA,NA,NA,NA,NA,NA,NA,"35.89","35.71","47.62","23.81","23.81",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elburgo/Burgelu",NA,NA,NA,NA,NA,NA,NA,"2.6","2.6","5.37","5.74","5.28",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elciego",NA,NA,NA,NA,NA,NA,NA,"1.78","1.72","3.23","3.23","3.23",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elduain",NA,NA,NA,NA,NA,NA,NA,"2.27","2.84","5.68","5.68","5.68",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elgeta",NA,NA,NA,NA,NA,NA,NA,"5.51","5.51","9.75","9.75","9.75",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elgoibar",NA,NA,NA,NA,NA,NA,NA,"17.85","12.34","15.92","15.92","16.86",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elorrio",NA,NA,NA,NA,NA,NA,NA,"2.07","2.15","2.74","2.55","2.55",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Elvillar/Bilar",NA,NA,NA,NA,NA,NA,NA,"3.36","3.35","7.18","7.18","7.18",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Erandio",NA,NA,NA,NA,NA,NA,NA,"6.2","6.08","6.41","6.45","6.41",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ereño",NA,NA,NA,NA,NA,NA,NA,"14.52","3.23","3.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ermua",NA,NA,NA,NA,NA,NA,NA,"17.43","17.7","20.29","19.63","19.63",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Errenteria",NA,NA,NA,NA,NA,NA,NA,"29.43","28.43","24.66","23.17","30.55",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Errezil",NA,NA,NA,NA,NA,NA,NA,"1.74","1.75","1.61","1.61","3.23",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Erriberagoitia/Ribera Alta",NA,NA,NA,NA,NA,NA,NA,"0.79","0.79","0.98","1.08","0.98",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Errigoiti",NA,NA,NA,NA,NA,NA,NA,"26.76","44.64","61.07","61.07","61.07",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Eskoriatza",NA,NA,NA,NA,NA,NA,NA,"4.79","4.79","4.79","4.79","4.79",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Etxebarri",NA,NA,NA,NA,NA,NA,NA,"14.27","14.91","18.09","18.09","18.09",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Etxebarria",NA,NA,NA,NA,NA,NA,NA,"8.99","8.99","8.99","8.99","89.93",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Forua",NA,NA,NA,NA,NA,NA,NA,"10.03","10","8","8","8",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Fruiz",NA,NA,NA,NA,NA,NA,NA,"10.33","10.42","14.55","18.18","145.45",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gabiria",NA,NA,NA,NA,NA,NA,NA,"5.08","5.1","4.73","4.73","4.73",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Gaintza",NA,NA,NA,NA,NA,NA,NA,"25.42","25","25","25","25",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Galdakao",NA,NA,NA,NA,NA,NA,NA,"15.19","15.81","16.52","17","17.07",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
