"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Atxondo",NA,NA,NA,NA,NA,"4.21","2.8","3.47","2.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Aulesti",NA,NA,NA,NA,NA,"3.03","4.49","2.97","22.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ayala/Aiara",NA,NA,NA,NA,NA,"3.73","3.54","3.81","2.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Azkoitia",NA,NA,NA,NA,NA,"6.09","4.96","4.89","4.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Azpeitia",NA,NA,NA,NA,NA,"5.7","5.69","5.74","5.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Añana",NA,NA,NA,NA,NA,"5.41","5.41","5.49","11.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Bakio",NA,NA,NA,NA,NA,"4.14","4.94","4.73","5.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Baliarrain",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Balmaseda",NA,NA,NA,NA,NA,"7.45","7.48","6.64","6.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Barakaldo",NA,NA,NA,NA,NA,"6.74","6.64","6.51","7.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Barrika",NA,NA,NA,NA,NA,"5.46","5.98","7.27","7.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Barrundia",NA,NA,NA,NA,NA,"1.32","1.28","1.26","1.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Basauri",NA,NA,NA,NA,NA,"5.22","5.43","5.13","4.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Baños de Ebro/Mañueta",NA,NA,NA,NA,NA,"5.95","5.81","5.45","5.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Beasain",NA,NA,NA,NA,NA,"3.38","3.5","3.08","3.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Bedia",NA,NA,NA,NA,NA,"6.13","5.09","6.1","6.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Beizama",NA,NA,NA,NA,NA,"6.02","5.78","5.88","5.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Belauntza",NA,NA,NA,NA,NA,"10.14","6.92","6.51","9.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
