"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48027","Durango","9.19","10.16","11.15","10.84","10.22","8.27","7.11","7.34","5.85","4.09","3.98","4.92","3.84"
"48028","Ea","8.03","8.03","5.39","8.75","7.85","6.72","5.97","4.85","3.37","3.11","4.40","3.67","1.72"
"20030","Eibar","13.34","13.98","14.34","13.61","13.36","11.63","10.02","10.05","9.12","6.99","7.64","7.91","5.69"
"48031","Elantxobe","11.00","10.00","8.91","10.00","10.43","8.26","11.11","8.51","8.70","2.92","8.45","4.90","2.70"
"01021","Elburgo/Burgelu","4.39","1.95","4.85","4.85","5.34","3.81","5.66","3.48","3.26","3.98","4.00","3.75","3.27"
"01022","Elciego","10.60","10.60","9.57","8.28","7.01","7.62","5.92","7.93","6.63","3.02","3.17","2.06","3.77"
"20031","Elduain","1.59","3.17","6.25","3.28","4.92","4.92","3.28","3.03","7.25","4.35","4.55","1.61","4.84"
"20033","Elgeta","5.72","6.63","7.69","4.37","6.02","4.86","4.58","5.64","5.11","3.70","3.55","3.55","2.45"
"20032","Elgoibar","9.60","11.26","11.31","10.47","9.94","9.22","7.97","7.71","6.20","4.98","5.06","5.50","4.16"
"48032","Elorrio","6.75","8.82","8.63","10.18","9.15","7.73","7.89","8.16","5.66","3.67","3.35","3.82","3.44"
"01023","Elvillar/Bilar","7.69","7.69","7.55","9.52","4.81","4.67","2.83","2.83","3.74","5.71","5.71","3.96","0.97"
"48902","Erandio","10.80","11.80","12.30","12.81","12.48","11.08","10.42","8.65","6.97","5.69","5.40","6.07","5.22"
"48033","Ereño","4.62","6.15","5.63","7.25","4.23","2.67","3.90","5.06","7.59","6.33","6.10","8.54","4.82"
"48034","Ermua","10.50","12.09","13.23","13.83","14.05","12.50","10.71","11.87","9.09","6.13","6.55","8.13","5.23"
"20067","Errenteria","11.13","12.17","12.75","12.85","12.12","10.46","9.91","9.86","7.76","6.56","6.60","6.61","5.50"
"20066","Errezil","5.71","5.71","7.07","6.78","7.02","4.62","8.19","5.62","3.87","4.97","4.95","4.00","3.53"
"01046","Erriberagoitia/Ribera Alta","5.94","8.42","10.19","11.94","10.24","8.45","4.95","6.47","3.52","3.61","4.47","2.56","2.61"
"48079","Errigoiti","9.42","8.70","7.46","8.39","8.11","6.00","5.70","6.45","2.72","2.72","2.90","3.82","3.20"
"20034","Eskoriatza","7.65","8.39","10.23","9.47","8.86","7.66","6.83","8.13","7.65","5.62","5.65","5.52","3.12"
"48029","Etxebarri","9.85","10.43","11.66","11.99","11.87","10.67","9.76","8.27","7.12","6.20","7.61","7.38","6.99"
"48030","Etxebarria","5.71","4.49","4.82","4.03","3.66","4.42","3.21","2.34","1.88","2.28","3.20","3.61","5.95"
"20035","Ezkio-Itsaso","7.07","8.70","6.99","7.57","6.99","3.68","3.74","4.86","3.35","2.30","2.76","2.91","4.05"
"48906","Forua","10.34","11.03","10.10","11.49","10.67","10.14","10.46","6.60","5.30","4.47","5.00","4.03","4.13"
"48035","Fruiz","10.18","10.18","7.47","12.43","9.55","6.25","8.84","5.00","4.48","3.91","3.03","3.79","5.93"
"20038","Gabiria","6.11","4.58","6.02","8.76","7.19","5.04","5.84","5.22","4.76","5.98","3.33","2.61","4.35"
"20037","Gaintza","6.67","0.00","3.45","6.90","10.71","6.67","8.82","9.09","8.57","2.94","6.45","0.00","3.70"
"48036","Galdakao","9.89","10.48","11.58","11.27","11.23","10.21","9.86","9.01","7.43","6.28","6.23","6.65","5.80"
"48037","Galdames","10.53","12.72","12.66","11.40","10.73","6.53","4.72","4.63","4.00","6.81","5.49","5.51","4.31"
"48038","Gamiz-Fika","7.57","6.46","7.83","8.84","6.54","7.09","5.91","5.00","5.01","4.50","3.47","4.83","2.53"
"48039","Garai","6.38","7.45","5.21","1.08","2.94","1.90","0.93","1.90","0.00","0.00","0.99","1.11","1.09"
"48040","Gatika","8.33","7.94","6.95","8.33","8.48","7.24","8.98","9.04","6.15","4.94","5.35","4.38","3.22"
