"Udalerri kodea","Udalerria","2004","2003","2002","2001"
"20061","Orio","11.55","20.69","15.77","14.23"
"20062","Ormaiztegi","126.63","175.67","132.35","123.19"
"48075","Orozko","60.64","25.20","17.61","63.21"
"48083","Ortuella","18.31","35.36","3.96","2.80"
"48072","Otxandio","38.04","27.18","40.66","45.85"
"01043","Oyón-Oion","242.02","204.88","225.65","254.48"
"20059","Oñati","142.60","123.25","92.67","102.06"
"20064","Pasaia","10.70","8.99","24.61","9.22"
"01044","Peñacerrada-Urizaharra","7.20","3.25","1.50","2.07"
"48077","Plentzia","9.24","10.36","6.66","3.17"
"48078","Portugalete","8.71","4.94","2.62","3.22"
"01047","Ribera Baja/Erribera Beitia","306.90","183.17","238.62","227.21"
"01051","Salvatierra/Agurain","200.77","186.77","120.49","136.34"
"01052","Samaniego","6.19","2.81","1.33","2.10"
"01053","San Millán/Donemiliaga","19.24","4.62","13.15","2.17"
"48082","Santurtzi","44.75","86.93","62.56","54.13"
"20070","Segura","17.30","15.28","7.40","12.44"
"48084","Sestao","1.094.28","500.49","492.98","525.27"
"48904","Sondika","78.83","980.39","60.58","34.83"
"48085","Sopela","28.72","17.19","14.17","10.15"
"48086","Sopuerta","32.55","24.02","26.38","17.98"
"20065","Soraluze-Placencia de las Armas","80.41","73.32","61.53","58.49"
"48076","Sukarrieta","13.85","18.34","1.98","1.73"
"20071","Tolosa","17.12","22.26","8.11","10.09"
"48087","Trucios-Turtzioz","7.52","3.99","1.92","1.66"
"48088","Ubide","7.56","3.86","1.91","1.64"
"48065","Ugao-Miraballes","37.75","29.34","20.21","25.80"
"48089","Urduliz","30.09","21.94","48.55","32.45"
"48074","Urduña/Orduña","9.40","4.35","7.54","14.44"
"01054","Urkabustaiz","93.12","53.40","60.79","35.42"
"20072","Urnieta","16.09","13.02","10.63","7.32"
"20077","Urretxu","10.23","27.51","3.83","2.94"
"20073","Usurbil","481.32","424.33","395.77","362.56"
"01055","Valdegovía/Gaubea","7.62","6.22","5.37","2.53"
"48080","Valle de Trápaga-Trapagaran","738.51","396.12","968.07","1.116.88"
"20075","Villabona","23.02","13.54","2.78","6.94"
"01057","Villabuena de Álava/Eskuernaga","7.12","3.19","383.68","2.05"
"01059","Vitoria-Gasteiz","140.25","129.64","106.04","96.34"
"01060","Yécora/Iekora","7.62","3.64","1.46","2.11"
"48095","Zaldibar","120.88","66.80","48.00","64.44"
"20078","Zaldibia","15.41","8.96","1.35","15.16"
"01061","Zalduondo","7.13","3.53","1.47","2.13"
"48096","Zalla","20.81","12.30","8.62","2.43"
"01062","Zambrana","7.74","3.62","1.48","2.06"
"48905","Zamudio","571.12","1.120.61","1.294.00","1.339.49"
"48097","Zaratamo","157.42","18.51","183.82","212.49"
"20079","Zarautz","12.01","10.83","4.93","2.49"
"48024","Zeanuri","10.59","6.17","4.01","2.16"
"48025","Zeberio","7.53","4.00","1.94","1.73"
"20025","Zegama","6.97","5.84","1.30","1.23"
"20026","Zerain","6.96","5.60","1.32","1.22"
"20027","Zestoa","13.57","11.73","11.61","1.97"
"48913","Zierbena","7.71","4.14","2.00","1.73"
"01018","Zigoitia","43.23","27.69","9.43","8.79"
"48915","Ziortza-Bolibar","18.62","22.49","27.80","26.34"
"20028","Zizurkil","29.46","34.91","23.51","12.84"
"01063","Zuia","61.34","59.76","36.99","12.86"
"20081","Zumaia","359.43","212.72","264.09","535.18"
"20080","Zumarraga","1.386.27","1.715.99","1.559.49","1.091.22"
