"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48902","Erandio","112.41","80.46","10.88","10.92","10.94","11.06","11.06","11.06","11.08","0.00","0.00","0.00"
"48033","Ereño","140.54","130.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48034","Ermua","59.40","33.11","25.76","25.77","25.79","11.41","11.42","11.58","0.00","0.00","0.00","0.00"
"20067","Errenteria","105.91","67.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20066","Errezil","9.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01046","Erriberagoitia/Ribera Alta","18.02","12.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48079","Errigoiti","15.81","7.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20034","Eskoriatza","54.70","46.84","7.97","8.00","8.02","8.21","8.41","8.41","8.72","0.00","0.00","0.00"
"48029","Etxebarri","125.69","100.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48030","Etxebarria","45.69","43.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20035","Ezkio-Itsaso","51.20","48.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48906","Forua","52.90","15.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48035","Fruiz","50.78","27.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20038","Gabiria","20.00","12.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20037","Gaintza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48036","Galdakao","83.40","49.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48037","Galdames","5.87","1.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48038","Gamiz-Fika","29.06","17.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48039","Garai","24.79","8.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48040","Gatika","28.62","17.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48041","Gautegiz Arteaga","17.33","15.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20907","Gaztelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48046","Gernika-Lumo","62.58","37.26","11.35","11.40","11.48","11.48","11.48","11.51","11.84","12.68","12.68","0.00"
"20039","Getaria","60.85","33.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48044","Getxo","121.05","75.52","2.73","0.45","0.46","0.43","0.43","0.43","0.22","0.22","0.22","0.22"
"48047","Gizaburuaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48042","Gordexola","34.16","15.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48043","Gorliz","78.97","44.84","2.23","2.23","2.23","2.24","2.25","2.26","2.33","2.32","2.32","0.00"
"48045","Güeñes","109.98","80.19","3.80","3.80","3.82","3.85","3.85","3.84","4.19","0.00","0.00","0.00"
"01056","Harana/Valle de Arana","3.88","3.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20040","Hernani","108.88","44.85","43.80","45.52","46.15","47.28","47.92","48.70","41.73","41.73","30.60","30.91"
"20041","Hernialde","23.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20036","Hondarribia","99.80","59.98","14.33","14.36","14.39","14.80","14.81","15.09","15.16","15.19","15.33","15.46"
"20042","Ibarra","109.17","38.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48048","Ibarrangelu","21.70","7.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20043","Idiazabal","34.01","10.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48094","Igorre","72.43","47.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20044","Ikaztegieta","34.65","9.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20045","Irun","88.90","56.46","20.22","20.35","17.93","18.02","18.03","18.22","6.63","6.75","0.00","0.00"
"20046","Irura","158.81","52.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01027","Iruraiz-Gauna","19.29","9.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01901","Iruña Oka/Iruña de Oca","81.44","75.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48049","Ispaster","12.14","4.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20047","Itsasondo","33.42","30.85","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48910","Iurreta","53.23","20.95","21.56","21.56","21.56","21.56","0.00","0.00","0.00","0.00","0.00","0.00"
"48050","Izurtza","54.55","36.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48022","Karrantza Harana/Valle de Carranza","38.41","31.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48907","Kortezubi","21.28","10.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01019","Kripan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01020","Kuartango","22.36","15.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01028","Labastida/Bastida","32.28","16.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01030","Lagrán","15.15","7.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01031","Laguardia","20.83","9.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01032","Lanciego/Lantziego","18.87","5.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48051","Lanestosa","4.95","4.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01902","Lantarón","13.85","6.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01033","Lapuebla de Labarca","84.75","45.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48052","Larrabetzu","76.76","65.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20048","Larraul","19.05","19.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20902","Lasarte-Oria","98.27","66.90","12.26","3.08","3.09","3.23","3.24","0.00","0.00","0.00","0.00","0.00"
"01036","Laudio/Llodio","94.27","62.36","26.90","15.45","15.46","15.47","3.67","3.68","3.87","4.04","4.11","4.13"
