"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2006"
"48050","Izurtza","9.31","28.07","28.07","28.07","28.07","28.47","28.47","28.47","28.47","28.47"
"48022","Karrantza Harana/Valle de Carranza","27.60","27.60","27.60","27.60","27.56","27.62","27.62","27.62","27.62","27.62"
"48907","Kortezubi","17.50","17.50","17.50","17.50","17.50","17.38","17.22","17.22","17.22","17.22"
"01019","Kripan","30.66","30.66","30.66","30.69","30.69","30.69","30.69","1.09","1.09","1.09"
"01020","Kuartango","16.80","16.84","16.84","16.82","16.82","16.80","16.80","16.80","16.80","16.80"
"01028","Labastida/Bastida","24.39","24.39","24.39","24.39","24.39","24.45","24.45","24.45","24.45","24.45"
"01030","Lagrán","67.64","67.64","67.64","67.61","67.77","67.19","67.19","20.34","20.34","20.34"
"01031","Laguardia","27.42","27.42","27.42","27.03","27.03","27.54","27.54","27.54","27.54","27.54"
"01032","Lanciego/Lantziego","0.00","0.00","0.00","0.00","2.65","24.43","24.43","24.43","24.43","24.42"
"48051","Lanestosa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01902","Lantarón","20.37","20.37","20.37","20.37","20.37","22.32","22.32","22.32","22.32","22.32"
"01033","Lapuebla de Labarca","6.91","6.91","6.91","6.91","6.91","6.90","6.90","6.90","6.90","6.90"
"48052","Larrabetzu","5.95","5.95","5.95","5.95","5.95","5.98","5.95","5.95","5.95","5.95"
"20048","Larraul","29.03","29.03","29.03","28.93","28.93","27.41","27.41","27.41","27.41","27.41"
"20902","Lasarte-Oria","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"01036","Laudio/Llodio","21.29","16.42","16.42","16.42","16.42","16.34","16.34","16.34","16.35","16.46"
"48053","Laukiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20049","Lazkao","45.27","45.19","45.19","45.28","44.65","46.15","46.15","25.53","39.33","3.98"
"20050","Leaburu","3.94","3.94","4.06","4.06","4.06","3.89","4.00","3.97","3.97","3.97"
"20051","Legazpi","24.48","24.48","24.48","24.50","24.50","24.67","24.67","24.67","28.12","24.00"
"20052","Legorreta","30.65","30.50","30.50","30.57","30.57","30.50","2.58","2.58","2.58","2.58"
"01058","Legutio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20068","Leintz-Gatzaga","65.33","65.33","65.45","65.60","65.60","65.78","65.71","65.71","65.71","83.61"
"48054","Leioa","15.32","15.32","15.46","9.42","9.24","14.93","14.93","14.93","15.08","15.11"
"48057","Lekeitio","11.81","11.81","23.08","11.81","11.81","11.32","11.32","11.32","11.21","11.21"
"48055","Lemoa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.69"
"48056","Lemoiz","44.52","44.52","44.59","44.61","44.73","43.67","59.81","59.78","59.75","59.66"
"01034","Leza","3.76","3.76","3.76","4.27","4.27","3.64","3.64","3.64","3.66","3.65"
"48081","Lezama","0.00","34.43","34.43","34.43","0.00","0.00","0.00","0.00","0.00","34.29"
"20053","Lezo","18.90","18.90","18.89","18.89","18.90","0.00","0.00","0.00","0.00","0.00"
"20054","Lizartza","43.15","43.15","43.12","43.12","43.04","42.56","41.88","41.88","42.76","0.78"
"48903","Loiu","8.71","8.71","8.71","8.71","8.71","0.00","0.00","0.00","0.00","0.00"
