"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"20036","Hondarribia","3.37","3.22","2.95","2.83","2.89","2.99","2.67","2.74","2.62","2.71","2.97"
"20042","Ibarra","2.20","1.84","1.70","1.53","1.78","1.72","1.52","1.70","1.69","1.78","1.71"
"48048","Ibarrangelu","1.96","2.10","1.82","1.72","1.70","1.80","1.60","2.18","2.01","1.52","1.70"
"20043","Idiazabal","3.35","3.26","2.85","2.15","2.53","2.46","1.65","1.66","1.53","1.56","1.59"
"48094","Igorre","2.23","2.04","2.34","2.08","2.33","2.80","2.21","2.28","2.18","2.33","2.15"
"20044","Ikaztegieta","2.91","2.62","2.55","2.11","1.82","2.11","1.33","1.39","1.53","1.46","1.44"
"20045","Irun","3.06","2.97","3.10","2.75","2.65","2.73","2.49","2.46","2.66","2.69","2.57"
"20046","Irura","9.74","9.78","9.82","7.29","8.63","13.98","11.53","5.06","7.48","9.46","9.29"
"01027","Iruraiz-Gauna","2.58","1.97","2.08","1.17","1.30","1.89","1.46","1.42","1.22","2.13","1.67"
"01901","Iruña Oka/Iruña de Oca","2.30","2.07","1.90","2.24","1.78","1.58","1.40","1.63","1.71","1.77","1.70"
"48049","Ispaster","1.65","1.60","1.50","1.60","1.40","1.50","1.74","1.72","1.57","1.58","1.49"
"20047","Itsasondo","1.75","1.96","2.17","1.79","2.11","2.14","1.89","1.77","1.80","1.73","1.61"
"48910","Iurreta","4.36","4.00","3.89","3.10","3.60","3.80","2.80","2.56","3.43","3.80","3.57"
"48050","Izurtza","4.31","3.81","2.89","3.62","6.49","6.16","6.25","4.68","5.69","5.82","7.28"
"48022","Karrantza Harana/Valle de Carranza","2.33","2.25","2.61","2.53","2.79","2.97","2.48","1.65","1.73","1.89","1.96"
"48907","Kortezubi","6.09","7.61","7.24","7.22","6.71","3.79","2.47","2.41","3.11","3.41","2.70"
"01019","Kripan","2.07","2.06","2.92","3.33","1.88","2.70","1.55","1.57","1.85","1.38","1.27"
"01020","Kuartango","1.85","2.41","1.91","1.62","1.83","1.38","1.75","1.97","3.88","1.82","2.26"
"01028","Labastida/Bastida","3.26","2.80","2.43","2.46","2.91","3.20","1.55","1.49","1.38","1.38","1.37"
"01030","Lagrán","2.40","1.67","1.50","2.00","1.81","2.08","1.25","2.18","1.18","1.18","1.27"
"01031","Laguardia","2.28","2.13","2.12","2.19","1.95","2.28","1.63","1.48","1.54","1.57","1.49"
"01032","Lanciego/Lantziego","2.40","2.19","2.29","2.13","1.96","2.55","1.59","1.63","1.71","1.81","1.48"
"48051","Lanestosa","26.67","20.90","17.67","12.35","8.92","15.52","13.96","14.04","8.93","7.19","1.42"
"01902","Lantarón","2.65","2.58","2.57","2.16","2.32","2.05","1.92","1.68","1.89","1.87","1.86"
"01033","Lapuebla de Labarca","2.85","2.58","2.32","1.91","1.84","2.42","1.56","1.56","1.55","1.40","1.40"
"48052","Larrabetzu","3.93","3.62","4.11","4.58","3.58","4.12","2.81","2.36","2.96","3.40","2.31"
"20048","Larraul","1.62","2.00","2.69","1.67","1.32","1.46","1.18","2.67","2.00","4.67","1.00"
"20902","Lasarte-Oria","2.80","2.39","2.40","2.56","2.31","2.33","2.10","2.04","2.02","1.87","1.75"
"01036","Laudio/Llodio","3.89","3.61","3.33","2.91","3.15","3.25","3.01","2.54","2.64","2.66","2.96"
"48053","Laukiz","3.58","2.94","3.34","2.38","2.03","2.45","2.10","1.38","2.21","2.41","1.33"
"20049","Lazkao","2.61","2.63","2.33","2.43","2.53","2.70","2.15","2.04","1.68","1.88","1.90"
"20050","Leaburu","1.53","1.71","1.36","1.38","2.48","1.96","1.52","1.61","1.42","1.65","1.72"
