"Udalerri kodea","Udalerria","2011","2001","1996","1991"
"20048","Larraul","18.10","24.53","34.00","19.05"
"20902","Lasarte-Oria","9.14","7.67","8.33","9.76"
"01036","Laudio/Llodio","12.38","7.85","9.83","11.65"
"48053","Laukiz","10.00","4.75","20.38","13.38"
"20049","Lazkao","12.06","14.78","16.59","14.07"
"20050","Leaburu","19.35","16.46","26.42","24.88"
"20051","Legazpi","13.62","8.64","11.78","10.76"
"20052","Legorreta","16.81","18.17","21.84","16.70"
"01058","Legutio","15.76","12.71","27.64","9.59"
"20068","Leintz-Gatzaga","20.14","23.88","34.71","21.98"
"48054","Leioa","8.75","8.14","14.17","14.14"
"48057","Lekeitio","11.02","16.20","45.07","13.32"
"48055","Lemoa","17.18","16.92","18.73","7.21"
"48056","Lemoiz","10.39","6.03","43.40","8.22"
"01034","Leza","36.97","15.27","63.59","12.36"
"48081","Lezama","17.24","19.11","22.53","18.31"
"20053","Lezo","9.70","11.64","11.53","14.64"
"20054","Lizartza","26.33","33.64","29.89","28.24"
"48903","Loiu","11.90","9.61","14.51","7.89"
"48058","Mallabia","13.60","12.20","19.84","8.38"
"48060","Markina-Xemein","16.51","21.60","24.92","22.20"
"48061","Maruri-Jatabe","22.68","8.64","30.77","10.05"
"48059","Mañaria","16.48","13.57","35.45","31.42"
"20901","Mendaro","18.37","16.01","26.53","14.52"
"48062","Mendata","20.00","12.82","48.76","10.71"
"48063","Mendexa","11.02","3.59","50.91","19.91"
"48064","Meñaka","14.06","11.93","33.96","14.38"
"01039","Moreda de Álava / Moreda Araba","37.88","30.43","35.12","9.38"
"48066","Morga","17.62","6.52","38.50","39.02"
"48068","Mundaka","16.04","5.69","54.50","2.40"
"48069","Mungia","13.36","11.90","23.41","23.25"
"48007","Munitibar-Arbatzegi Gerrikaitz-","17.82","14.16","41.23","22.43"
"48908","Murueta","19.74","23.48","34.00","11.49"
"48071","Muskiz","10.40","7.22","14.66","13.09"
"20057","Mutiloa","16.15","38.95","34.07","17.86"
"20056","Mutriku","11.31","2.42","31.03","13.29"
"48067","Muxika","11.28","3.58","29.78","20.32"
"48909","Nabarniz","30.50","19.81","31.82","23.71"
