"Udalerri kodea","Udalerria","2010","2005"
"20065","Soraluze-Placencia de las Armas","65.99","66.69"
"48076","Sukarrieta","41.30","36.96"
"20071","Tolosa","63.01","61.82"
"48087","Trucios-Turtzioz","57.16","55.55"
"48088","Ubide","53.10","54.14"
"48065","Ugao-Miraballes","60.19","60.38"
"48089","Urduliz","32.82","31.03"
"48074","Urduña/Orduña","41.07","40.03"
"01054","Urkabustaiz","52.17","53.40"
"20072","Urnieta","56.50","56.86"
"20077","Urretxu","61.52","62.78"
"20073","Usurbil","57.43","58.59"
"01055","Valdegovía/Gaubea","61.04","60.75"
"48080","Valle de Trápaga-Trapagaran","16.95","17.10"
"20075","Villabona","60.96","61.02"
"01057","Villabuena de Álava/Eskuernaga","4.00","4.24"
"01059","Vitoria-Gasteiz","30.98","31.14"
"01060","Yécora/Iekora","8.24","5.16"
"48095","Zaldibar","68.14","70.08"
"20078","Zaldibia","57.78","57.90"
"01061","Zalduondo","40.92","41.42"
"48096","Zalla","65.75","64.94"
"01062","Zambrana","41.85","41.85"
"48905","Zamudio","43.15","41.50"
"48097","Zaratamo","68.40","69.00"
"20079","Zarautz","28.46","28.18"
"48024","Zeanuri","70.67","70.04"
"48025","Zeberio","86.71","86.16"
"20025","Zegama","80.03","79.03"
"20026","Zerain","68.00","67.62"
"20027","Zestoa","56.66","57.19"
"48913","Zierbena","8.91","8.36"
"01018","Zigoitia","51.96","52.30"
"48915","Ziortza-Bolibar","63.11","76.73"
"20028","Zizurkil","57.61","57.61"
"01063","Zuia","68.22","69.36"
"20081","Zumaia","23.54","23.45"
"20080","Zumarraga","63.46","64.34"
