"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"20044","Ikaztegieta","56.52","60.47","58.33","56.36","49.09","58.00","60.00","54.00","56.00","57.14","58.14","60.00","64.29","60.00","56.52","56.25","55.56"
"20045","Irun","77.92","77.80","77.40","76.94","76.09","76.74","75.72","74.02","75.06","74.99","75.50","75.12","75.25","75.42","75.89","76.62","77.49"
"20046","Irura","66.26","63.19","61.82","59.51","57.32","56.32","56.98","60.69","63.16","62.42","58.62","56.16","56.34","52.41","53.25","52.70","55.56"
"01027","Iruraiz-Gauna","29.03","26.56","22.95","20.90","21.05","63.64","59.09","50.00","58.33","56.52","52.17","63.16","66.67","73.33","75.00","69.23","63.64"
"01901","Iruña Oka/Iruña de Oca","67.07","65.55","64.46","62.96","60.74","64.63","65.69","64.26","64.50","64.68","65.84","68.11","68.60","68.05","66.46","65.31","64.67"
"48049","Ispaster","56.25","60.38","52.63","46.55","46.15","66.67","70.73","71.79","73.17","80.00","82.35","81.25","77.42","78.57","75.86","73.33","68.57"
"20047","Itsasondo","50.00","50.00","47.50","45.95","55.56","58.33","63.16","59.09","55.81","54.76","54.55","52.27","50.00","53.33","58.33","56.52","57.78"
"48910","Iurreta","60.22","60.23","59.15","56.71","58.03","61.66","61.34","61.67","63.48","66.15","65.32","64.69","63.64","63.11","62.16","62.22","62.54"
"48050","Izurtza","51.11","44.00","41.67","36.73","40.00","45.65","50.00","51.02","54.00","52.94","52.08","51.92","52.00","50.98","51.02","51.92","53.06"
"48022","Karrantza Harana/Valle de Carranza","41.42","39.95","37.40","35.80","37.04","73.93","75.61","76.26","78.76","79.36","77.57","79.34","78.92","78.24","78.98","81.03","82.02"
"48907","Kortezubi","56.10","54.35","51.06","41.67","44.44","85.71","95.45","89.47","77.78","76.47","76.47","81.25","72.22","73.68","73.68","82.35","87.50"
