"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"01042","Okondo","21.65","21.65","7.56","6.39","6.19"
"20058","Olaberria","3.88","3.88","2.33","2.19","2.18"
"48073","Ondarroa","21.78","21.60","21.60","20.07","20.08"
"20076","Ordizia","10.06","10.06","10.06","10.06","23.95"
"20905","Orendain","9.43","3.77","4.17","2.08","2.07"
"20060","Orexa","66.67","2.56",NA,"2.56","2.59"
"20061","Orio","19.52","17.79","17.79","41.94","25.82"
"20062","Ormaiztegi","5.09","5.09","4.75","4.80","4.80"
"48075","Orozko","8.78","4.57","4.57","4.03","4.05"
"48083","Ortuella","10.96","10.84","10.65","10.70","11.07"
"48072","Otxandio","5.16","5.16","5.16","3.15","3.15"
"01043","Oyón-Oion","1.32","1.32","1.32",NA,NA
"20059","Oñati","10.02","9.88","9.43","9.36","10.39"
"20064","Pasaia","10.58","10.58","11.38",NA,NA
"01044","Peñacerrada-Urizaharra","2.56","2.56","1.42","1.42","1.42"
"48077","Plentzia","9.15","9.15","9.09","9.09","9.10"
"48078","Portugalete","19.37","19.37","20.61",NA,NA
"01047","Ribera Baja/Erribera Beitia","2.77","2.77","2.77","2.16","2.16"
"01051","Salvatierra/Agurain","37.64","33.80","33.80","24.72","24.73"
"01052","Samaniego","7.69","17.03","16.48","4.95","4.96"
"01053","San Millán/Donemiliaga","9.54","9.54","9.54","9.54","9.53"
"48082","Santurtzi","5.66","5.66","5.66","5.66","5.66"
"20070","Segura","14.60","14.60","14.60","12.41","12.40"
"48084","Sestao","11.65","11.66","11.70","11.74","11.74"
"48904","Sondika","10.43","10.41","14.78","12.06","12.34"
"48085","Sopela","18.35","18.35","18.35","18.17","18.26"
"48086","Sopuerta","76.14","76.14","76.14","76.14","76.11"
"20065","Soraluze-Placencia de las Armas","11.20","16.39","11.20","4.37","4.09"
"48076","Sukarrieta","24.24","24.24","24.24","20.00","19.96"
"20071","Tolosa","25.09","148.61","149.58","25.12","24.38"
"48087","Trucios-Turtzioz","37.14","9.14","9.14","9.14","9.13"
"48088","Ubide","1.64","1.64","16.39","1.64","1.64"
"48065","Ugao-Miraballes","110.98","110.98","119.11","33.71","34.22"
"48089","Urduliz","7.69","7.69","9.70","9.70","9.49"
"48074","Urduña/Orduña","31.83","25.22","25.22","25.22","27.17"
"01054","Urkabustaiz","6.05","5.95","5.95","6.06","6.06"
"20072","Urnieta",NA,NA,NA,"17.81","10.11"
"20077","Urretxu","4.95","4.95","4.95","4.95","4.96"
"20073","Usurbil","16.40","3.82","3.82","3.75","3.74"
"01055","Valdegovía/Gaubea","6.73","6.42","6.47",NA,NA
"48080","Valle de Trápaga-Trapagaran","4.36","5.45","5.45","4.36","3.93"
"20075","Villabona","27.69","27.13","24.89","24.89","25.53"
"01057","Villabuena de Álava/Eskuernaga","14.08","1.40","1.40","1.40","1.40"
"01059","Vitoria-Gasteiz","16.91","16.92","16.92","14.92","15.26"
"01060","Yécora/Iekora","7.69","6.15","6.15","6.15","7.92"
"48095","Zaldibar","46.46","48.05","53.10","53.10","53.27"
"20078","Zaldibia","91.02","91.02","91.02","89.82","89.66"
"01061","Zalduondo","14.18","14.18","11.35","11.35","11.32"
"48096","Zalla","3.79","3.79","3.80","3.74","3.77"
"01062","Zambrana","17.32","17.32","17.47","8.73","8.75"
"48905","Zamudio","11.32","11.02","47.43","40.99","16.03"
"48097","Zaratamo","22.86","8.00","8.00","12.57","9.71"
"20079","Zarautz","20.76","23.41","23.41","29.59","30.44"
"48024","Zeanuri","7.25","3.62","3.62","7.97","7.23"
"48025","Zeberio","9.76","11.11","1.77","1.77","1.77"
"20025","Zegama","12.09","12.09","12.13","10.96","14.09"
"20026","Zerain","97.44","64.41","64.41","64.41","64.52"
"20027","Zestoa","11.09","11.09","15.58","2.29","1.91"
"48913","Zierbena","1.38","1.38","0.97","0.97","0.92"
"01018","Zigoitia","1.06","1.06","1.00","1.00","0.53"
"48915","Ziortza-Bolibar","17.78","23.53","23.53","23.53","8.26"
"20028","Zizurkil","12.17","12.17","12.27","13.45","13.45"
"01063","Zuia","6.01","6.01","5.66","5.93","5.93"
"20081","Zumaia","7.09","7.09","7.09","7.23","7.24"
"20080","Zumarraga","12.42","12.42","9.55","9.61","17.80"
