"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009"
"01902","Lantarón","28.86","26.40","26.90","28.42","30.31","29.91","31.68"
"01033","Lapuebla de Labarca","47.17","47.44","48.15","54.89","79.20","73.32","86.53"
"48052","Larrabetzu","53.80","51.52","51.14","51.33","52.17","50.38","50.52"
"20048","Larraul","58.88","59.81","61.32","60.38","62.14","55.67","55.45"
"20902","Lasarte-Oria","51.07","50.79","49.97","50.90","53.65","55.20","56.18"
"01036","Laudio/Llodio","51.22","50.57","51.73","54.05","56.83","58.74","59.05"
"48053","Laukiz","47.35","45.44","45.69","46.43","49.16","47.40","48.70"
"20049","Lazkao","60.28","57.95","56.54","56.97","60.39","60.82","61.62"
"20050","Leaburu","56.33","58.86","60.65","54.30","52.20","55.28","55.88"
"20051","Legazpi","53.83","53.45","53.53","53.19","55.44","55.65","56.81"
"20052","Legorreta","51.65","52.15","50.08","50.31","54.56","55.07","54.31"
"01058","Legutio","51.55","51.93","51.17","49.56","51.37","53.98","55.17"
"20068","Leintz-Gatzaga","45.30","48.72","45.38","45.45","50.86","48.12","53.08"
"48054","Leioa","52.10","50.98","50.38","51.39","54.21","54.58","54.88"
"48057","Lekeitio","45.35","44.48","43.16","43.63","45.53","45.66","45.11"
"48055","Lemoa","50.83","49.38","49.25","49.90","50.82","53.91","52.08"
"48056","Lemoiz","43.20","40.04","38.07","38.04","39.54","37.10","36.42"
"01034","Leza","56.38","58.51","51.09","51.02","58.42","59.41","65.55"
"48081","Lezama","55.41","55.71","54.77","55.79","59.34","56.24","54.75"
"20053","Lezo","54.26","52.90","50.76","50.46","54.44","55.85","58.50"
"20054","Lizartza","56.10","53.66","53.54","58.36","55.31","61.74","60.66"
"48903","Loiu","48.95","47.65","46.92","46.12","47.94","47.40","44.97"
"48058","Mallabia","50.19","49.06","51.41","56.23","59.01","61.15","60.38"
"48060","Markina-Xemein","52.13","51.80","50.72","48.66","50.99","50.68","52.02"
"48061","Maruri-Jatabe","47.26","43.53","41.75","42.71","42.01","41.03","41.13"
"48059","Mañaria","51.11","49.78","48.39","44.49","46.41","43.57","42.91"
"20901","Mendaro","56.27","53.36","52.45","52.31","52.85","52.35","50.06"
"48062","Mendata","41.82","40.61","39.29","41.98","42.60","38.95","36.16"
"48063","Mendexa","38.35","36.89","38.19","37.17","38.02","39.38","38.22"
"48064","Meñaka","38.01","35.51","36.56","38.20","35.83","38.34","42.33"
"01039","Moreda de Álava / Moreda Araba","29.73","27.03","28.57","30.36","34.75","35.04","33.05"
"48066","Morga","43.75","44.79","44.39","43.30","42.71","43.30","38.31"
"48068","Mundaka","40.05","40.05","38.28","39.18","41.56","41.03","40.19"
"48069","Mungia","53.00","52.78","52.96","53.28","55.59","56.13","55.70"
"48007","Munitibar-Arbatzegi Gerrikaitz-","42.72","39.91","37.67","37.85","43.41","45.73","39.80"
"48908","Murueta","18.18","18.18","17.16","17.16","14.50","14.62","13.85"
"48071","Muskiz","49.27","47.50","46.86","48.13","49.62","52.19","50.95"
"20057","Mutiloa","44.44","37.04","40.95","40.20","44.76","45.54","43.81"
"20056","Mutriku","48.73","46.89","46.43","47.36","49.04","49.46","50.21"
"48067","Muxika","47.26","45.00","43.65","44.85","48.18","47.83","45.72"
"48909","Nabarniz","42.45","35.85","35.24","38.46","37.25","33.33","32.71"
"01041","Navaridas","35.61","33.33","39.47","54.31","66.67","90.91","117.39"
"20063","Oiartzun","55.72","53.75","54.38","53.87","57.04","57.94","58.65"
"01042","Okondo","48.30","47.50","48.21","46.15","47.94","45.45","44.71"
"20058","Olaberria","50.36","48.93","48.72","48.80","52.28","49.41","49.31"
"48073","Ondarroa","48.81","47.43","46.66","47.40","48.90","49.20","49.16"
"20076","Ordizia","53.89","51.35","52.10","54.26","58.56","57.74","59.07"
"20905","Orendain","53.66","48.78","44.58","48.81","47.44","50.00","47.67"
"20060","Orexa","61.70","61.70","68.89","63.04","64.58","61.22","60.38"
"20061","Orio","49.34","47.61","47.48","49.02","50.74","52.34","52.91"
"20062","Ormaiztegi","61.21","56.80","58.01","57.92","62.73","63.02","62.86"
"48075","Orozko","53.44","50.48","49.71","50.38","54.20","57.38","58.58"
"48083","Ortuella","47.26","46.21","45.68","47.93","52.21","53.98","55.71"
"48072","Otxandio","52.70","53.45","50.63","50.62","51.20","50.00","48.80"
"01043","Oyón-Oion","34.93","32.53","31.54","33.01","32.73","34.74","32.81"
"20059","Oñati","53.95","53.54","54.06","53.94","55.77","56.58","56.83"
"20064","Pasaia","50.14","48.59","47.81","48.72","52.50","54.46","55.40"
"01044","Peñacerrada-Urizaharra","30.67","27.33","27.81","30.67","27.15","27.56","25.47"
"48077","Plentzia","47.04","44.36","44.81","45.67","47.95","48.02","46.71"
"48078","Portugalete","47.40","47.04","46.05","47.24","50.27","52.43","53.91"
"01047","Ribera Baja/Erribera Beitia","35.70","34.49","31.96","32.35","34.76","33.56","31.60"
"01051","Salvatierra/Agurain","50.41","48.57","48.06","47.79","51.12","52.52","52.19"
"01052","Samaniego","55.73","54.20","55.56","55.70","125.61","127.88","163.40"
"01053","San Millán/Donemiliaga","52.59","54.02","54.11","53.67","58.28","56.32","55.49"
"48082","Santurtzi","46.05","45.42","45.08","45.54","48.96","50.41","51.21"
"20070","Segura","51.95","50.65","50.81","50.65","49.84","48.63","50.49"
"48084","Sestao","44.55","43.89","43.30","44.20","48.27","51.03","52.39"
"48904","Sondika","52.12","51.78","51.00","51.31","54.54","53.20","52.05"
"48085","Sopela","53.70","51.82","51.37","52.44","53.36","54.24","54.46"
"48086","Sopuerta","40.27","39.19","38.68","38.80","41.08","41.09","41.61"
"20065","Soraluze-Placencia de las Armas","52.83","51.40","50.29","50.14","53.10","53.49","54.47"
"48076","Sukarrieta","25.60","23.81","26.58","26.42","26.09","27.95","24.85"
"20071","Tolosa","52.52","50.87","50.99","51.95","55.30","57.05","58.37"
"48087","Trucios-Turtzioz","32.14","30.16","28.02","32.94","35.77","37.01","37.80"
"48088","Ubide","51.90","50.63","46.25","46.05","43.75","38.27","45.83"
"48065","Ugao-Miraballes","49.66","49.43","49.32","49.75","52.94","53.89","56.19"
"48089","Urduliz","48.91","46.84","45.78","45.65","47.33","47.75","51.69"
"48074","Urduña/Orduña","45.70","45.04","45.57","46.24","48.30","49.60","47.64"
"01054","Urkabustaiz","50.69","49.83","49.91","51.41","50.00","50.34","50.09"
"20072","Urnieta","58.61","57.90","56.25","57.13","59.96","60.14","61.42"
"20077","Urretxu","55.03","53.82","54.29","54.29","56.72","56.89","55.86"
"20073","Usurbil","53.94","53.27","52.40","53.07","54.44","55.48","55.68"
"01055","Valdegovía/Gaubea","30.30","29.50","28.21","28.65","29.13","30.09","30.48"
"48080","Valle de Trápaga-Trapagaran","48.31","47.36","47.12","48.12","50.62","52.56","51.92"
"20075","Villabona","55.63","54.76","55.32","55.98","59.45","60.20","62.12"
"01057","Villabuena de Álava/Eskuernaga","55.17","51.03","52.38","58.90","93.20","78.23","96.43"
"01059","Vitoria-Gasteiz","51.20","50.30","50.02","51.64","53.91","55.13","55.81"
"01060","Yécora/Iekora","40.00","41.67","45.05","44.74","50.39","44.12","46.97"
